 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.95509726	0.036162607	0.007563667	0.0007524316	1.3916375e-07	0.00042385192	9.6867744e-08	1.3724624e-08	8.574246e-09	3.9202466e-10
t	0.41333154	0.38757446	0.19869001	0.00036276018	1.7636474e-08	3.8453094e-05	1.1891174e-08	2.8816094e-08	2.7560488e-06	8.0075546e-10
e	5.2912863e-05	0.98848224	0.011398582	5.8471924e-05	1.8634744e-08	1.7357319e-06	1.2832994e-07	3.424448e-08	5.6830886e-06	5.0317166e-08
l	0.0002622152	0.960397	0.039312404	2.815734e-05	6.659707e-10	2.7738145e-07	1.6209625e-10	6.280267e-11	4.2097367e-10	7.5815125e-13
ì	1.1008714e-05	0.8985347	0.098905936	0.0025387623	1.3745363e-07	9.013887e-06	1.5215216e-08	3.353746e-08	1.2388576e-09	3.0218882e-07
s	0.0003907193	0.93080527	0.06686122	0.0019359161	2.3095777e-07	6.4449814e-06	1.4496423e-07	1.6095749e-09	3.245068e-09	4.602068e-12
i	0.00043499825	0.86373925	0.13387233	0.0019466677	1.545881e-07	6.1029364e-06	1.7378062e-08	3.004814e-08	1.4112771e-09	4.6787548e-07
n	0.0020433213	0.056358006	0.93896204	0.002588688	4.568713e-05	2.1002154e-06	1.3700362e-07	1.9442368e-08	9.1919236e-11	4.2153862e-13
a	9.501797e-05	0.54352707	0.4424362	0.013834142	1.3598662e-05	9.160999e-05	1.1490575e-06	1.0333962e-06	7.245692e-08	1.0754729e-07
m	9.1934045e-05	0.034176107	0.95131296	0.014169115	0.000227692	1.9998839e-05	2.0583423e-06	1.7878983e-07	3.19513e-08	4.939623e-12
ì	0.0017908327	0.309494	0.48362082	0.20206034	0.001495801	0.0014458166	3.749458e-05	2.807253e-05	3.6104433e-07	2.6555028e-05
n	0.00042460574	0.06118575	0.79046214	0.1445712	0.003038434	0.00020948486	9.73026e-05	9.795813e-06	1.1652706e-06	2.2069656e-08
i	0.0011981692	0.11756536	0.3874856	0.48038563	0.011799772	0.0013377586	0.00017088448	5.4761025e-05	4.4282797e-07	1.5745994e-06
p	0.0010453427	0.0051753744	0.11673698	0.43450633	0.43251824	0.004809317	0.0051810783	2.708434e-05	1.9313967e-07	5.3466387e-09
à	0.000534467	0.110487476	0.11862899	0.6669144	0.08713054	0.012344899	0.0033005322	0.00047189693	6.131689e-06	0.0001806243
n	7.0903654e-05	0.0029189093	0.050703768	0.84100115	0.10006909	0.0020914956	0.0031022343	3.101119e-05	1.13093265e-05	1.35848e-07
t	0.0006704177	0.06752132	0.058181517	0.46744558	0.359466	0.023939334	0.019038618	0.003635855	3.5096833e-05	6.6368884e-05
a	0.0007123408	0.004246037	0.023234433	0.39180693	0.54865175	0.0150978435	0.015311173	0.00091871526	1.1568653e-05	9.270274e-06
l	0.00063796184	0.00029432625	0.003996086	0.024668545	0.6602881	0.12365684	0.18408279	0.002357882	9.358572e-06	8.136026e-06
e	0.0018830271	0.02616016	0.030145077	0.22900018	0.34634405	0.16129567	0.193964	0.01069437	0.00024829817	0.00026517903
t	5.8649333e-05	0.00012029621	0.0013212401	0.024738709	0.5338576	0.0918635	0.34439734	0.0033959334	0.00021407969	3.266239e-05
t	0.002374155	0.057680942	0.041149203	0.19607167	0.30700186	0.17849852	0.19698173	0.017730378	0.0013857071	0.0011258151
ò	0.00039231285	0.0012138888	0.005827241	0.087561466	0.6711215	0.06845731	0.15053456	0.011028918	0.0007362224	0.003126531
m	1.6690867e-05	0.00020273576	0.0006494248	0.017298229	0.13037488	0.0671957	0.758961	0.0131560275	0.008664652	0.0034805706
i	0.005783678	0.028142571	0.026843	0.116274096	0.31116354	0.13557875	0.34074956	0.02803295	0.00673937	0.0006924516
f	0.0004289825	0.00020335638	0.00064289506	0.0017781543	0.08256593	0.1491985	0.63414717	0.108382896	0.007111871	0.015540237
à	0.0012241182	0.01047945	0.0074003623	0.0231609	0.09024196	0.094485365	0.5567013	0.16815822	0.037864782	0.010283511
i	9.325026e-05	0.00028985066	0.000489716	0.0056550386	0.053422194	0.07358156	0.70758367	0.06767956	0.045252927	0.04595215
t	0.00076750404	0.0026135596	0.0020333235	0.00228114	0.017523082	0.07442954	0.3259335	0.3196875	0.24655424	0.008176621
o	0.0008187906	0.018484341	0.004586532	0.005362071	0.014716308	0.044148732	0.06889049	0.7045148	0.11193504	0.0265428
v	1.168776e-05	7.438221e-05	6.8791574e-05	0.00013911608	0.0019162981	0.015602514	0.071530186	0.26926064	0.59908515	0.042311236
r	0.000326433	0.00698792	0.0028486685	0.0047821715	0.03136754	0.017591607	0.16048272	0.45720056	0.20365047	0.11476202
à	0.00031435746	0.0010036987	0.0009850821	0.0026354825	0.03278253	0.021709032	0.3037545	0.1001077	0.41557387	0.121133655
i	0.00066760636	0.0054404926	0.0023937915	0.0052354946	0.004783631	0.00564564	0.06324329	0.016571762	0.239114	0.6569043
</S>	0.0052462416	0.021236427	0.010805305	0.0077065425	0.015461369	0.038378976	0.13190198	0.1504069	0.50046146	0.11839476
