 	l	ho	sentito	che	veniva	</S>
o	0.97211117	0.025822219	0.00087158964	0.001193033	1.733438e-06	2.013265e-07
n	0.01908296	0.0018329633	0.944815	0.034246452	2.2366647e-05	9.469513e-08
ì	0.001943638	0.0010757102	0.9908212	0.0038890762	0.0015953965	0.0006750439
k	0.010416152	0.0009051543	0.98660386	0.0020709222	2.1395483e-07	3.6711629e-06
u	0.4326087	0.14063787	0.33701047	0.084223494	2.46985e-05	0.005494896
s	0.62188965	0.144889	0.1884125	0.04480615	2.207506e-06	5.0870295e-07
a	0.073654525	0.14453545	0.49195787	0.28970703	3.5703436e-06	0.00014156547
k	0.004534826	0.006665849	0.35412621	0.6308454	0.003669855	0.00015775158
a	0.0047343737	0.11021888	0.2646334	0.31173232	0.008925675	0.2997554
è	0.001234122	0.0020762687	0.02569526	0.10368489	0.8157652	0.051544275
r	0.0019046991	0.008702338	0.35443112	0.57452905	0.004005645	0.056427192
k	0.0026270268	0.010346541	0.014559867	0.061286233	0.0076758447	0.9035045
a	0.008610957	0.045657888	0.0111257	0.034487545	0.24108216	0.65903574
t	0.0030940727	0.0019907104	0.0026857706	0.018832028	0.47291186	0.50048554
o	0.09970781	0.13724421	0.1815908	0.30942494	0.003985873	0.2680464
</S>	0.000409801	7.513488e-05	0.0005953472	0.0039269933	0.18680714	0.80818564
