 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.9042238	0.0055561173	0.022981822	0.0011157157	0.06582108	4.9128766e-06	0.00018986565	2.1800604e-05	2.8817675e-08	3.91264e-05	4.5733803e-05	1.0690428e-08	1.0881288e-09	6.996456e-10
n	0.08930378	0.84306026	0.013722633	0.008743904	0.04497096	1.1153116e-06	1.4584531e-05	0.0001794158	5.1768984e-10	1.7627484e-07	3.1312939e-06	3.912145e-09	1.9595378e-08	2.3326366e-10
è	0.00017907607	0.00019870824	0.99559903	0.0039815186	3.305783e-05	2.2318175e-06	3.8267435e-06	4.3267034e-09	1.1294078e-08	6.6135904e-08	2.226212e-06	9.484559e-08	1.1484583e-07	9.6627744e-08
r	4.1797823e-05	0.00062692194	0.9841652	0.015142546	3.6539848e-06	5.943411e-07	1.820387e-05	4.0731706e-08	3.5157854e-10	1.5388084e-08	1.0101929e-06	1.5873516e-09	5.4975212e-11	7.1555934e-12
t	0.00021022587	0.0007933369	0.98449373	0.014390329	9.659094e-05	7.829054e-07	1.4456999e-05	3.1449577e-08	2.679771e-09	1.710162e-07	3.7006103e-07	5.946376e-09	8.044122e-10	7.435908e-10
i	0.0027545267	0.009249323	0.86318845	0.11795721	0.0058488385	0.000112763	0.0008330041	1.990465e-05	2.984274e-07	1.5685386e-05	1.9989302e-05	1.8618339e-08	1.0149588e-11	9.797976e-12
s	0.00053264626	0.014751304	0.21597865	0.6563218	0.112247236	1.4001749e-05	7.964277e-05	7.4115254e-05	2.390687e-07	2.3954797e-07	1.2610585e-07	4.994575e-09	4.3909164e-12	6.2110094e-14
e	3.2773154e-05	0.00010292325	0.8932463	0.104743056	0.0013480227	0.00044656408	7.783034e-05	2.3837757e-08	1.06213925e-07	1.0865792e-06	9.851867e-07	1.3372133e-07	1.0787996e-07	1.7990912e-07
s	3.3142554e-05	0.003559596	0.07841644	0.8761714	0.04122438	0.00014634147	0.00041543547	3.093197e-05	1.148828e-06	4.194489e-07	7.962033e-07	6.784724e-08	9.3071655e-11	3.0661333e-12
e	7.529633e-05	0.0004996122	0.7409562	0.23706393	0.005437639	0.013782186	0.0018883309	4.2841125e-06	1.0544863e-05	0.00016237615	9.238406e-05	1.0429955e-05	5.6320523e-06	1.117041e-05
t	1.8060278e-05	0.00097213686	0.033830684	0.8924536	0.060397964	0.0044188653	0.0068130186	0.00094010733	0.000103578066	1.6562599e-05	2.837295e-05	6.906571e-06	6.1252954e-09	4.2268006e-10
t	0.00015597335	0.0011122463	0.4967781	0.3952785	0.014951067	0.07443634	0.011157953	0.0002598003	0.00036364215	0.003862331	0.0012208391	0.00027718043	7.08143e-05	7.52596e-05
à	0.0014320876	0.0140020745	0.0444553	0.5008336	0.35297656	0.056442626	0.013594048	0.007170012	0.0022091616	0.0040626167	0.0013163897	0.0014506257	5.2091855e-05	2.7916751e-06
a	4.0518833e-05	0.00027727796	0.04061453	0.30138975	0.017063964	0.58258665	0.03898517	0.0019902487	0.01492466	0.000830155	0.0002861014	0.0010091915	7.543271e-07	1.039415e-06
n	3.323683e-05	0.00037476936	0.025083726	0.18432346	0.0103506055	0.10496642	0.4281358	0.123084016	0.10743964	0.009184854	0.005058166	0.0019637812	1.5199458e-06	5.2414208e-08
d	0.00027681998	0.0012170703	0.23095472	0.19355722	0.0109459115	0.3479418	0.1320697	0.017466802	0.020889163	0.02713528	0.013816839	0.003661281	2.4824501e-05	4.2614738e-05
e	0.004445385	0.0053195185	0.024200264	0.09225648	0.08657801	0.13800782	0.12474908	0.17892125	0.27169535	0.06105315	0.0061796242	0.006309023	0.0002570111	2.8042734e-05
m	0.00011492469	0.00026721723	0.0016423627	0.016825069	0.012387501	0.06395576	0.25274238	0.17212176	0.4376367	0.038055256	0.0028945252	0.0013283576	1.0553593e-05	1.7659015e-05
i	0.008089798	0.00923801	0.13185945	0.15709381	0.058125004	0.17216168	0.11269371	0.06743475	0.0947499	0.16977672	0.011866151	0.004789443	0.0017836541	0.0003378291
n	0.00013933789	0.0002262645	0.00051840174	0.0067578424	0.008925858	0.012983412	0.20813565	0.2302938	0.47760117	0.050136924	0.0031299272	0.0009421329	5.2443065e-05	0.00015688488
d	0.0005398227	0.0025405455	0.08317331	0.06899313	0.007948289	0.49367893	0.06714898	0.053725477	0.08590908	0.08995303	0.032052614	0.013906393	0.00014484934	0.00028554673
