 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.0948616875	0.090509165	0.07829513	0.090576846	0.151717817	0.18967073	0.1408212	0.16354738
a31	0.154852025833	0.111244221667	0.0718804583333	0.0879694773333	0.166480209	0.183327276667	0.115596256667	0.108650056667
a29	0.189962241944	0.133298853889	0.0757441777778	0.104270910444	0.184501393	0.158447712222	0.0889574422223	0.064817248889
a46	0.143301200648	0.120882677963	0.0697993709259	0.123076288148	0.203581224333	0.170201214074	0.104331304074	0.064826672963
a11	0.157676490216	0.145251799321	0.0771718119753	0.129678277383	0.189546384778	0.146563986691	0.0952542940247	0.0588569089877
a20	0.194037153405	0.17996954644	0.0887459606584	0.130530633794	0.168393078259	0.11680289923	0.0743361406749	0.0471845756626
a8	0.176283127802	0.16269785548	0.0844204702195	0.129267401265	0.166118992753	0.131392828077	0.0857032318916	0.0641161165542
a31	0.189712082601	0.153340108493	0.0832037700732	0.123358943755	0.160834370918	0.137938032692	0.0853950669639	0.0662176531847
a38	0.2195971142	0.162016812831	0.0929301333577	0.122815801252	0.143263313639	0.128238967564	0.075017726988	0.0561201410616
a31	0.228068358067	0.156250670944	0.0922463611192	0.120938409084	0.14052838788	0.132588509188	0.0747890856627	0.0545902286872
a24	0.240735189356	0.150589033648	0.0906294070397	0.115822638361	0.13537018596	0.124621995063	0.0817044935542	0.0605270488957
a37	0.240120549785	0.144127084549	0.0926282823466	0.108037532787	0.125067651987	0.119348237021	0.0960142961847	0.0746563312986
a15	0.215568296595	0.140346668183	0.101162948782	0.107948934262	0.120179813996	0.138943379007	0.0941508767282	0.0816990520995
a31	0.192107038865	0.143748216061	0.111067244261	0.118702898087	0.126090401332	0.148389609669	0.0876239302427	0.0722706463665
a20	0.215214452955	0.149131355354	0.10546579142	0.113430177362	0.131433643777	0.13665011989	0.0861881334142	0.0624863144555
a31	0.245147447652	0.149909881785	0.0965625738067	0.0958523221207	0.135272991259	0.13250710663	0.0848754478047	0.0598722154852
a37	0.264367915884	0.150739917262	0.0939845246022	0.0864398757069	0.133377623753	0.124275167543	0.0870564359349	0.0597585491617
a46	0.247443381961	0.152166825754	0.106149144867	0.0944061602356	0.111874647918	0.127110481181	0.0871026399783	0.0737467463872
a20	0.195381780654	0.146750531918	0.116729938289	0.103523658412	0.105963705973	0.14956968706	0.0924521299928	0.0896285867957
a24	0.161604643551	0.136269057306	0.111280112763	0.0983142641373	0.111367578658	0.172871405687	0.104834748664	0.103458176932
a31	0.177605664517	0.139700855769	0.106500029588	0.0940026593791	0.125231232886	0.164079151896	0.102161122888	0.0907192739773
a17	0.188410324839	0.144313805256	0.107921561863	0.095309479793	0.126715694295	0.150320637299	0.0941018276293	0.0929066963258
a20	0.164371421613	0.139322511752	0.113702697288	0.099616564931	0.105643793432	0.161190855766	0.0972533275431	0.118898862109
a38	0.150817530538	0.137566530584	0.118290254096	0.102492866644	0.0966990564773	0.164882715255	0.101139949181	0.128111110703
a31	0.169495223513	0.140736460195	0.117427793032	0.097281935548	0.108605055492	0.153277271752	0.102263761394	0.110912500234
a17	0.181063001171	0.144856283398	0.118695894344	0.096132888516	0.113731741831	0.138823203917	0.103460033798	0.103236956745
a31	0.183102357057	0.147851284466	0.124038598115	0.0978473295053	0.106319337277	0.133244134639	0.101541499266	0.106055475582
a37	0.178048535686	0.147035878155	0.128949212705	0.100639366502	0.099060275759	0.126170428213	0.103959387755	0.116136938527
</S>	0.163821732843	0.145718399078	0.132453076353	0.106311538251	0.0896786878795	0.118276049106	0.106098733877	0.137641804263
