 	è	che	è	entrato	da	qui	</S>
a31	0.1324402875	0.113696821	0.109621855	0.15722645	0.15512039	0.189747085	0.14214709
a7	0.1284582325	0.103587520667	0.0959293583333	0.155294816667	0.162872543333	0.214111488333	0.13974602
a18	0.107131875833	0.0895797552223	0.0849933261111	0.130206745556	0.162607437778	0.256888226111	0.1685926
a31	0.102151721611	0.0851407884074	0.0844863887037	0.122991348519	0.161134669259	0.258693938704	0.185401116667
a46	0.11300291187	0.0929383748025	0.0902800595679	0.12617526784	0.152945969753	0.226607552901	0.198049868889
a31	0.12185032729	0.0991664136008	0.096269269856	0.137974080947	0.139054736584	0.200415847634	0.205269362963
a39	0.13843248243	0.1099812412	0.102906626619	0.149122810316	0.137511582195	0.179938415878	0.182106870988
a28	0.156341977477	0.126257937067	0.108379953873	0.149559556772	0.137018790732	0.165739311959	0.156702460329
a31	0.167704649159	0.128988417356	0.106645372958	0.164691785591	0.138965083577	0.157416923986	0.135587733443
</S>	0.173463929579	0.125421741178	0.103301206479	0.174565187796	0.141460656789	0.156841821993	0.124945431722
