 	siete	cucinato	</S>
a20	0.379076665	0.26292358	0.357999785
a31	0.377345651667	0.306904746667	0.315749648333
a18	0.386317320556	0.313978698889	0.299704022778
a21	0.393258900185	0.30357030963	0.303170820926
a37	0.337288003395	0.31931126321	0.343400733642
a21	0.277075697798	0.338011427737	0.384912851214
a31	0.241786072599	0.352778929246	0.405434987071
a18	0.237574170866	0.327950303082	0.434475539024
a31	0.206807363622	0.292442874361	0.500749796341
</S>	0.167577776811	0.289207237181	0.54321502317
