 	che	consuma	poco	benzina	</S>
a31	0.22532814	0.191481945	0.18671833	0.228266755	0.16820485
a41	0.224100806667	0.175577588333	0.182781673333	0.268358691667	0.14918124
a31	0.229811265556	0.171571436111	0.182914267778	0.283099423889	0.1326036
a28	0.247447218519	0.176168902037	0.172578225926	0.276552287963	0.12725338
a24	0.235944736173	0.167337914012	0.166936328642	0.274848709321	0.15493233
a31	0.223606745391	0.167873598004	0.166439702881	0.25575819644	0.186321786667
a11	0.234258648464	0.178083312668	0.156244644294	0.23347642548	0.197936998889
a31	0.251846396155	0.190925004223	0.140108791431	0.22727839516	0.189841416296
a46	0.277492818718	0.199646238074	0.14293844381	0.226406958387	0.153515512099
a31	0.311273146239	0.201779836025	0.14679677127	0.223470469462	0.116679759033
</S>	0.325664023119	0.202428388013	0.139317100635	0.224734099731	0.107856397017
