 	vuole	vuole	mangiato	caldo	</S>
a37	0.13241382	0.117502495	0.088098815	0.381901845	0.280083045
a31	0.171903433333	0.151724128333	0.116770095	0.294730211667	0.264872158333
a41	0.158983162778	0.156739696111	0.133626605	0.281999357222	0.268651166111
a31	0.142514085926	0.149302978704	0.133947578333	0.289990345741	0.28424496537
a11	0.131659260309	0.138705916235	0.142893719444	0.29633168858	0.290409408457
a20	0.10269522377	0.119625745412	0.145731689815	0.318619376193	0.313327986152
a31	0.102339843257	0.111873868471	0.142992846605	0.317928445398	0.324865045384
a18	0.091841564419	0.095164180157	0.119943408868	0.339044475133	0.354006395128
a31	0.0962271381397	0.087111922719	0.102013166289	0.354791815044	0.359855935043
a20	0.0988948180466	0.081772134573	0.090096459763	0.365813388348	0.363423195014
a21	0.0893732513489	0.0729034345243	0.069073130921	0.386457106116	0.382193078338
</S>	0.0983568806745	0.0780016642621	0.0690142554605	0.389040568058	0.365586619169
