 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.154934525	0.13312218	0.121271105	0.099837345	0.1098478025	0.223491265	0.157495775
a46	0.145484725	0.0974425333333	0.090441513	0.129292261667	0.1549751775	0.226839778333	0.155524028333
a31	0.189950975	0.0981494477778	0.096984649	0.147192567222	0.1699832625	0.172123837778	0.125615269444
a17	0.207259771667	0.100615455926	0.0995909163333	0.164513842407	0.179213690833	0.135334890926	0.113471443148
a37	0.171324810556	0.0808690019753	0.0824393767778	0.192368150802	0.208031993611	0.127655936975	0.137310741049
a31	0.176882730185	0.0930592673251	0.0970878335926	0.197426866934	0.205546611204	0.108423926992	0.121572713683
a39	0.182729146728	0.0954266724417	0.0963397121975	0.191997598978	0.210827143735	0.105423388664	0.117256277894
a31	0.198745318909	0.0900035291472	0.0866285983992	0.182993492993	0.206938041245	0.113729161221	0.120961835965
a37	0.21780144297	0.0898295547157	0.0836410111331	0.169626284331	0.201523247082	0.11915945374	0.118418975322
a31	0.241082487657	0.0856782149052	0.0758250820444	0.153977674777	0.186622889027	0.130895101247	0.125918515107
a46	0.265197545886	0.110700651635	0.0967971173481	0.124907488259	0.140901954342	0.145905327082	0.115589908369
a31	0.303067951962	0.124976185878	0.103737909116	0.094436302753	0.113837520781	0.151710445694	0.10823369279
a46	0.317279100654	0.134111710626	0.104860919705	0.0821530875843	0.0965776615937	0.163999715231	0.10101783093
</S>	0.296798335327	0.148664525313	0.117601159852	0.0815798937921	0.0827942857968	0.180013577615	0.092548275465
