 	non	aveva	da	stare	</S>
a37	0.229547575	0.19526935	0.23063773	0.174184245	0.170361115
a38	0.307944501667	0.218733986667	0.194010223333	0.136384371667	0.142926925
a24	0.362881637222	0.229330652222	0.165831431111	0.112805082556	0.129151195
a8	0.372253579074	0.228761417407	0.15721151037	0.113430109519	0.128343375
a17	0.369929943025	0.231322032469	0.158424910123	0.11497837984	0.125344708333
a31	0.380150554342	0.24378622749	0.167047676708	0.108854986613	0.100160539444
a20	0.382281391447	0.25200182583	0.164514932236	0.103769582204	0.0974323098147
a8	0.353891930482	0.251309035277	0.178546910745	0.101021614068	0.115230566605
a31	0.333743976827	0.250272091759	0.183936446915	0.109542599689	0.122504895535
a20	0.332716358942	0.259429830586	0.189978842305	0.10062233823	0.117252615178
a31	0.342352562981	0.258790530195	0.188259990768	0.0879522777433	0.122644615059
a8	0.325347470994	0.249081756732	0.203324663589	0.103771200914	0.118474861686
a31	0.313256696998	0.258416722244	0.222696967863	0.105453813638	0.100175757229
</S>	0.333693648499	0.272939376122	0.210425103931	0.090774076819	0.0921677686145
