 	ho	cosa	a	fare	</S>
a23	0.246596975	0.215707485	0.16112271	0.189162875	0.18741002
a17	0.260116898333	0.200035931667	0.145676063333	0.185945565	0.208225606667
a31	0.295910992778	0.199265027222	0.159610241111	0.171434921667	0.173778834222
a8	0.312999590926	0.205966619074	0.163135607037	0.162863403889	0.155034773407
a31	0.313120003642	0.203279539691	0.157475489012	0.173107047963	0.153017921136
a13	0.331843691214	0.210853679897	0.153503383004	0.167905062654	0.135894170379
a24	0.327985747071	0.211045719966	0.141856641001	0.156827937551	0.162283926793
a31	0.330963872357	0.196035453322	0.144749750334	0.156085009184	0.172165865598
a13	0.335366900786	0.190980161107	0.147767540111	0.156770276395	0.169115091866
a31	0.354925600262	0.194532630369	0.13325207337	0.145270268798	0.172019403955
a18	0.363511450087	0.206225210123	0.132778931123	0.145542826266	0.151941571318
a0	0.339028860029	0.239269826708	0.141498170374	0.155791672089	0.124411477106
a39	0.32051046001	0.263407708903	0.137323943458	0.16482287403	0.113935017702
</S>	0.315930240005	0.271862284452	0.133333011729	0.169453262015	0.109421216851
