 	l	ha	scritta	</S>
a20	0.25070653	0.32720726	0.234344965	0.18774125
a31	0.2586668	0.324101413333	0.236125931667	0.18110587
a35	0.244236603333	0.314750611111	0.245805133889	0.195207653333
a31	0.236582147778	0.312517317037	0.248357367963	0.202543157778
a35	0.238129832593	0.296154705679	0.246839575988	0.218875875926
a31	0.228817937531	0.278282735226	0.239067728663	0.253831591975
a41	0.24042262251	0.268199485075	0.244736212888	0.246641677325
a31	0.250257260837	0.262592325025	0.248942124296	0.238208295775
a11	0.262109880279	0.261421698342	0.251963481432	0.224504938592
a18	0.284390233426	0.275690126114	0.253855887144	0.186063729531
a13	0.287556157809	0.286234002038	0.265017849048	0.161191963177
</S>	0.280806398904	0.291994701019	0.276482024524	0.150716846588
