 	avete	cucinato	le	verdure	</S>
a20	0.22564857	0.176573495	0.222737815	0.178598475	0.196441645
a31	0.265087303333	0.164840771667	0.220038215	0.181603445	0.168430251667
a37	0.264092801111	0.161195480556	0.225040098333	0.198409568333	0.151262047222
a10	0.21432304037	0.148818733519	0.243242999444	0.222194896111	0.171420319074
a20	0.192763460123	0.141321574506	0.244227149815	0.231931158704	0.189756653025
a28	0.189511103374	0.134908864835	0.218351709938	0.235157132901	0.222071194342
a20	0.198300471125	0.130536964945	0.185024129979	0.233014757634	0.253123668114
a33	0.220567107042	0.149963831648	0.186718283326	0.196452705878	0.246298046038
a8	0.243046525681	0.179349830549	0.209983397775	0.158126045293	0.209494188679
</S>	0.25132096284	0.187105120274	0.217044368888	0.152050807647	0.192478759339
