 	l	ho	sentito	quando	veniva	</S>
a31	0.150618375	0.096147075	0.1171835275	0.226138625	0.20974855	0.20016385
a46	0.139866065	0.0896615126667	0.134907709167	0.229633911667	0.197032003333	0.2088988
a41	0.0986920616667	0.0653705218889	0.143234639722	0.251242203889	0.220400537778	0.221060053333
a31	0.129747687222	0.0981972772963	0.148607326574	0.224915841296	0.200776075926	0.197755801111
a24	0.139201859074	0.108450557099	0.147193982191	0.197777607099	0.184680945309	0.222695033704
a31	0.126724059691	0.102735700366	0.165515714064	0.1891456757	0.183812688436	0.232066147901
a15	0.14055711323	0.113148140122	0.166104966355	0.178175438567	0.173758129479	0.2282562093
a46	0.130257541077	0.0979019267073	0.131584513785	0.185879929522	0.186570406493	0.267805669767
a31	0.138282900359	0.0989966555691	0.113765557928	0.204803519841	0.195100258831	0.249051079922
a0	0.147025993453	0.102757521856	0.107920819309	0.20933488328	0.20002389961	0.232936889974
a41	0.133061071151	0.0960429406187	0.10139390977	0.21002140776	0.210983786537	0.248496903325
</S>	0.128221055576	0.0934174753094	0.096190419885	0.21248444888	0.212727943269	0.256958651662
