 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.5011188475	0.0336076465	0.0054991362	0.0127071771	0.0165938669	0.0086775459	0.02859612739	0.11364527605	0.01668272658	0.009897064435	0.0082085019	0.0271002442385	0.03677737419	0.010506229305	0.013773350512	0.156608938235
t	0.7977098825	0.0423776665	0.0041170363	0.0050500427	0.00592919296667	0.00321359091667	0.00967277964267	0.0381864126	0.00569550205533	0.00340801109367	0.00279795042567	0.00904739167223	0.0123941146767	0.00353438955933	0.00460290830717	0.0522632182763
t	0.856086194167	0.0566846208333	0.0101718638667	0.00550490183333	0.00742909772222	0.00524940665556	0.00574877980022	0.01484837775	0.00320956632711	0.00255341468989	0.00190623380089	0.00342845519114	0.00499137214557	0.00180033337411	0.00200033329756	0.0183870891668
ù	0.558500559389	0.349366752278	0.0322070156222	0.00850809627778	0.00947858810741	0.00903896988519	0.00486230900007	0.00775280868333	0.00261844594237	0.0023695444833	0.00163799014696	0.00155769307505	0.00260201751519	0.0012387045057	0.00113855382985	0.0071219696956
s	0.191675823796	0.719604184093	0.0499916118741	0.00774385875926	0.00744422740247	0.0105704316284	0.00221812034002	0.00337104314444	0.00113826242946	0.0009276053811	0.00058574394432	0.000534770732017	0.000954079491397	0.000433747340233	0.000397250501617	0.0024092945152
t	0.077758894932	0.728696111364	0.0488237072914	0.0183312035864	0.0262779373008	0.0298795272095	0.02181548472	0.0166412878648	0.00391209692515	0.00587783276037	0.00351382179677	0.00437610680634	0.00123991418347	0.00211728837074	0.00492274106154	0.00581605418173
o	0.0360816931107	0.690331440455	0.0932998724305	0.0234685688621	0.0314383401003	0.0335818145032	0.0286282349067	0.0216764721883	0.00517728147505	0.00777248793679	0.00465977464559	0.00566324284211	0.00168959086116	0.00283885356358	0.00648700042385	0.00720528821058
s	0.0125171080169	0.699957966818	0.185623444143	0.0235667092874	0.0208390113668	0.0224801689344	0.0105683629689	0.0083907080961	0.00222246958168	0.00306156426226	0.00177357605186	0.0019513163507	0.000934881647053	0.00112283445786	0.00229692631795	0.00269295621186
p	0.00440386202897	0.636704322273	0.188739521381	0.0376545417625	0.0374106824556	0.0332806473115	0.0197126006563	0.014671777832	0.00320468595056	0.00486175802075	0.00282666947395	0.00296621928023	0.00103548850902	0.00218446091595	0.00558997554598	0.00475281506229
ì	0.00156841715699	0.461707230758	0.297218387127	0.0728954382542	0.0504102964852	0.0366305637705	0.0241709583188	0.0212127142773	0.00491148368352	0.00595314277358	0.00330874907465	0.00326837823941	0.00173183460301	0.00264043548198	0.00668928792533	0.0056826953341
t	0.000538005984997	0.248694015253	0.537988075709	0.0900768094181	0.0480790544951	0.0352438685902	0.0109207428063	0.0125732233924	0.00333715288117	0.00296827163786	0.00137107324155	0.0012259263058	0.001284477701	0.00102458026933	0.00242638404511	0.00224835696803
i	0.000186523252771	0.127994965751	0.638428225236	0.146614839806	0.0421324648317	0.0269324510301	0.00505900153543	0.00536832489747	0.00157686680039	0.00146591552595	0.00065592711385	0.000548073625267	0.000704333853667	0.000435218028443	0.000951866397037	0.000945023422677
è	6.21968326517e-05	0.0485104572703	0.595384625079	0.286139373269	0.0450392462772	0.01589083751	0.00242651699514	0.00270763316582	0.00090480642013	0.000737975301983	0.000363157663283	0.000198709336756	0.000551434141222	0.000253947249481	0.000357085371012	0.000472020444226
