 	è	che	sono	usciti	</S>
è	0.79642777	0.1095014525	0.079429007435	0.0054097229	0.009232052
n	0.557042443333	0.329756414167	0.0941351958117	0.0111541856333	0.00791172513333
a	0.275278684078	0.455582138056	0.244641868604	0.0171996992111	0.00729757151111
g	0.0930166371593	0.411065879352	0.453985732868	0.031118314737	0.0108134281704
u	0.0319465081931	0.275509098451	0.607808740956	0.0626862062457	0.0220494560568
ì	0.010939949581	0.0952776393337	0.816709290319	0.0554907514152	0.0215824076856
k	0.009871393737	0.0403326786279	0.888647540106	0.0501503364717	0.0109980887285
a	0.00953809564567	0.022143774076	0.595128295035	0.278579672157	0.0946101867428
n	0.00342837326822	0.00773358605867	0.218552883345	0.509851224052	0.260433948914
e	0.00122702414907	0.00274106354289	0.080740600915	0.451491531351	0.463799789638
</S>	0.000731046184535	0.00143046730644	0.0430859751575	0.368871550676	0.585880974819
