 	vuole	andare	a	Lecce	</S>
i	0.79435685	0.055063718	0.00305287615	0.03918977435	0.10833682523
t	0.777018116667	0.167588462667	0.00373881618333	0.0148848162167	0.0367698036633
è	0.643672738889	0.329634520889	0.00511243326111	0.0084829439389	0.0130973676544
l	0.459164562963	0.523937090296	0.0046277767537	0.00735540797963	0.00491518747813
i	0.226820760154	0.725451880099	0.0265798542512	0.0171188393265	0.00402865875271
n	0.0758549798813	0.810238560033	0.0826321914171	0.0232424137755	0.0080318342509
a	0.0253646142504	0.599443550011	0.324681763806	0.0365516019252	0.013958495417
p	0.0084789673328	0.307977933337	0.603859954602	0.0567142606417	0.0229688894723
à	0.00293304541027	0.177868761112	0.728111584867	0.0642823535472	0.0268042071574
i	0.00107600368222	0.0825930891373	0.628936184956	0.249249204516	0.0381455023858
L	0.00036335938054	0.0304267159458	0.450335504985	0.481992154839	0.0368822704619
u	0.000129422492513	0.0125977322486	0.321178201662	0.625081404946	0.0410132298206
p	5.10847058377e-05	0.00440205764953	0.175601300554	0.723616138315	0.0963294249402
p	7.08344356126e-05	0.00805180531651	0.151542956851	0.570857882772	0.26947651498
ì	7.80646722042e-05	0.00940144095884	0.11756126695	0.504631137591	0.368328068327
u	3.06980079014e-05	0.00336024743761	0.04375852235	0.637576215864	0.315274299442
n	1.07851053005e-05	0.0011358042222	0.0168454637167	0.666444485288	0.315563439814
a	5.93777770017e-06	0.0004080584564	0.0082214619389	0.525760251763	0.465604273271
</S>	6.41634400008e-06	0.0002332520842	0.00519509066945	0.394746060881	0.599819166636
