 	l	ho	sentito	che	viene	</S>
o	0.49043057	0.385886525	0.0573597662	0.002566147275	0.01471497945	0.0490419516
n	0.261787806667	0.573565475	0.132486798733	0.006877195925	0.00756115371667	0.0177215127667
ì	0.123208426556	0.651955225	0.199009382911	0.0126611666417	0.00588425530556	0.00728150982223
k	0.0657709431853	0.690360975	0.211653837637	0.0194909982139	0.00846888890185	0.00425434760741
u	0.0434991385118	0.461467213	0.217196225879	0.204397637405	0.0593986139673	0.0140411688025
s	0.0146194717346	0.1561453371	0.22679803196	0.482062882468	0.0969899613224	0.0233843412675
a	0.0049020676922	0.0530195362033	0.152780074987	0.531669444156	0.215110150441	0.0425187470892
n	0.00165594046947	0.0178420621544	0.0610956866623	0.579586581385	0.289045466814	0.0507742276964
a	0.00056826253189	0.00608595716147	0.0274505002208	0.497494043795	0.393452522271	0.0749486612321
r	0.000203768156763	0.00214318702382	0.0114618882069	0.278037647932	0.604937307424	0.103216193744
t	0.000757969961721	0.00175380588461	0.00672002826897	0.165957280644	0.648932935808	0.175878011248
i	0.000942829568507	0.00154928560554	0.00330440833799	0.0659115256147	0.527207831936	0.401084160416
</S>	0.000472334056154	0.00078128676877	0.0016868004415	0.0360885389073	0.414947945968	0.546023130208
