 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.60890942	0.0388912335	0.0074869187	0.00887247413	0.014313616815	0.03698339209	0.107050765626	0.0071033190435	0.014176123569	0.03354933324	0.122663421275
v	0.84576604	0.0326163341667	0.0058308049	0.00328770543	0.00488401488833	0.01262849947	0.0357510356357	0.00238421396017	0.004743809309	0.0112061522017	0.040901409431
ò	0.647019108	0.277865850056	0.0343164981667	0.00181200144333	0.00203041226944	0.00509085820333	0.0120255051319	0.000821693989057	0.001603028072	0.00376320660557	0.0136518242297
e	0.263176880667	0.623687453352	0.0973796893889	0.00133574708111	0.00112228157981	0.00253547118778	0.0040681150183	0.000292001396019	0.000555202837	0.00127741718252	0.0045697354809
n	0.106507476889	0.515718657784	0.347836836463	0.0209185619604	0.00137744634994	0.00280804194926	0.00218682587043	0.00026816577934	0.000270985013	0.000525840621507	0.00158119333497
ì	0.0465091812297	0.226709154928	0.688906802154	0.0280330372535	0.00247591014998	0.00416246674975	0.00158082528514	0.000278823703113	0.000274441777667	0.000417783780502	0.000651561141657
m	0.0168202072766	0.0940900233093	0.852384544051	0.0273269163512	0.00222706469333	0.00394399791658	0.00220844212338	0.000158578904371	0.000225329715889	0.000314648643501	0.000300244602552
e	0.00653842358353	0.0369792629698	0.71645917135	0.22028895745	0.0101345890744	0.00606832897219	0.00263269657446	0.000207202028124	0.000208060915296	0.000244812097834	0.000238531419517
g	0.00219123677691	0.0170828606233	0.556214013783	0.389267705817	0.0174323416915	0.0116634523241	0.00395149055815	0.000693780809375	0.000606022581765	0.000554469415945	0.000342660886506
r	0.0026872378167	0.0117444346411	0.412600316261	0.458454188606	0.0160549858972	0.0129954587747	0.0651969638527	0.00462515956979	0.00283707729392	0.00375590410532	0.0090482947155
a	0.00287188560223	0.00767341516037	0.17400446492	0.548261796202	0.123626875299	0.0151283309249	0.0888689879509	0.00629218892326	0.00569614243131	0.0113544972018	0.0162214115718
m	0.000978541673877	0.00290818640012	0.07589337614	0.604755152067	0.198078391766	0.0348094623083	0.0423412349836	0.00767126004109	0.00763138214377	0.0135604594006	0.0113725578573
m	0.000344749839092	0.00173031536671	0.04753591238	0.696969637356	0.124563531589	0.0380818097694	0.0408908633279	0.0097570529137	0.00942155138126	0.0131683228002	0.0175362259524
è	0.000136442704364	0.00126431655557	0.02917409046	0.547475119119	0.252322198196	0.0608785169231	0.0595066304426	0.0068328517379	0.00817650956042	0.0143314616001	0.0199017903175
n	4.94965088213e-05	0.000816780261857	0.0225595191533	0.39002022304	0.385577212732	0.102310058974	0.0635732118142	0.00913002811263	0.00561013762014	0.0107993587334	0.00955391913917
a	1.69931990324e-05	0.000433457086286	0.0147571927938	0.29551371868	0.506905134244	0.118219822991	0.0402101574047	0.00932153033754	0.00383445857338	0.0061260952778	0.00466145774639
m	5.73679207113e-06	0.000149030143762	0.00501935310727	0.152301263893	0.563081304748	0.243433930997	0.0183316856016	0.00937714641251	0.00265062915779	0.00332114882593	0.00232880978213
a	1.96435695871e-06	5.39597593873e-05	0.00176987186176	0.0999094559643	0.464955454916	0.406290940332	0.0106985009672	0.0101739806708	0.00256065758593	0.00214986084198	0.00143535659404
i	6.92076812903e-07	2.00554159624e-05	0.000605375204587	0.0401163261414	0.347987756972	0.594321190111	0.0045023825724	0.0073464364236	0.00278970396198	0.00131021862066	0.000999853351347
a	2.64748656968e-07	1.31941103541e-05	0.000221566372862	0.0136152875538	0.179184156324	0.789554380037	0.00191479311413	0.0102001684745	0.00384193965399	0.000700854513553	0.000753398883782
