 	che	non	li	aspettiamo	</S>
n	0.700033935	0.011521471	0.01394726465	0.1879002277	0.086597115185
a	0.647633061667	0.181897801333	0.0611505932167	0.0725238213667	0.036794748185
m	0.395803853889	0.342321717111	0.202858887739	0.0362652611222	0.022750304395
i	0.218419225463	0.236866314704	0.329447589246	0.202871647374	0.012395223265
t	0.0760760974877	0.142610813901	0.509731456415	0.262632201125	0.00894943188833
u	0.0281454490959	0.1157091633	0.561889602138	0.260025595708	0.0342302149628
s	0.0098979884653	0.0767631554333	0.607586837379	0.262179511903	0.0435725139876
m	0.00432233392177	0.0454186002778	0.50741377346	0.419478577301	0.0233666719959
ì	0.00219907247392	0.0160816647259	0.176657466153	0.756523542434	0.0485382439986
n	0.00139735775797	0.00907222790863	0.0836142593843	0.822645080811	0.0832711129995
o	0.00101733229432	0.00656506236954	0.0506689324614	0.578381406937	0.363367307667
m	0.000365214643107	0.00441119558985	0.0423674168205	0.328011475646	0.624844705889
e	0.000149686803036	0.00369689785328	0.0390164915735	0.225729831549	0.73140707863
</S>	8.1420229518e-05	0.00191604356164	0.0197034297367	0.127234435275	0.851064669315
