 	non	sono	andati	</S>
e	0.34409347	0.2101701315	0.20998289465	0.23575343975
n	0.334434792	0.5013874705	0.0804908003167	0.0836868664167
è	0.135923210333	0.784340710167	0.0479515297722	0.0317845140056
c	0.0607091547777	0.817700686722	0.0988252072574	0.0227649715352
h	0.0576842852592	0.760576865574	0.123996614752	0.0577422421784
u	0.0475963920897	0.516128208525	0.103009110584	0.333266260726
n	0.0160894257666	0.218142716175	0.332095226861	0.433672596909
e	0.0055673864422	0.102192913625	0.574476388954	0.317763275636
p	0.00192951830407	0.035858084975	0.704737276318	0.257475095212
a	0.000712950383023	0.0132340245717	0.729243738773	0.256809251737
m	0.000279270746008	0.0049776908039	0.713942356258	0.280800663912
è	0.000111680416603	0.00231134743463	0.594813442086	0.402763534637
n	3.9414867801e-05	0.00129469025821	0.581259494029	0.417406408212
a	1.85746596003e-05	0.00074017945807	0.509307496343	0.489933749404
</S>	1.55259838001e-05	0.000405220017035	0.264990045671	0.734589199702
