 	entrò	da	qui	</S>
m	0.668628035	0.18317251798	0.12109975985	0.027099782
b	0.396618791667	0.202851610327	0.121108587217	0.279421070667
ì	0.232030777222	0.354744117776	0.047213446339	0.366011694222
k	0.196648472407	0.510194622592	0.0416133814463	0.251543552074
e	0.142169394542	0.606885610864	0.0433891098154	0.207555888025
a	0.0475733235007	0.525080890288	0.343001033272	0.084344751675
p	0.0160656903336	0.186882001363	0.763678437757	0.033373850225
ò	0.00554855379787	0.067117457721	0.889963605919	0.037370328075
t	0.00199907464296	0.0263440076403	0.92957952864	0.0420773453583
t	0.0569025288247	0.0195149949468	0.72286110288	0.200721357786
u	0.0752031682883	0.0169734600623	0.33098780196	0.576835572595
</S>	0.0376053571643	0.00854543765115	0.17273263748	0.781116586298
