 	non	mangiare	la	sera	</S>
m	0.27257898	0.34438451	0.0566309975	0.0344520795	0.2919534093
i	0.2017374	0.59902902	0.0713966591667	0.0278756525	0.0999612569667
f	0.101137410333	0.778191323333	0.0669424540556	0.0175280665	0.0362007464222
a	0.045122810011	0.715643457778	0.191803899019	0.0276268461667	0.0198029782407
i	0.0169031656703	0.440681069259	0.501903023006	0.0270302993889	0.0134824338136
o	0.0060420577001	0.191198691986	0.774948707669	0.0222856227963	0.00552491623787
v	0.0021078484967	0.067717542562	0.89440603589	0.0333020332654	0.00246653927929
r	0.0016438467189	0.0348907315207	0.658425561963	0.168645236755	0.136394613393
à	0.0019257436063	0.0302436568402	0.365430697321	0.219938566918	0.382461337798
i	0.00111285402677	0.0192564153084	0.233479089774	0.338198610306	0.407953059266
</S>	0.000565030700385	0.0096380191967	0.131365290887	0.536042130153	0.322389569633
