 	l	ha	scritta	</S>
t	0.751559425	0.07574334	0.116981247	0.05571596495
o	0.588668198333	0.334686552	0.0547633286667	0.0218819522833
è	0.238183314544	0.723200150667	0.0279989365556	0.0106176400944
g	0.112128923281	0.748733316889	0.132986310852	0.0061514403648
r	0.13720838776	0.497840262296	0.277357270284	0.0875940584549
a	0.114011404993	0.238247318665	0.405459796761	0.242281432818
t	0.038471924871	0.092326697455	0.61598709892	0.253214234273
s	0.0182870155903	0.0493805291517	0.657656516307	0.274675938091
e	0.0111213649264	0.0238041068839	0.458753265436	0.506321282697
</S>	0.0055681873077	0.012013379192	0.328516397718	0.653902071348
