 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.72480478	0.1794168425	0.0341736969	0.000857780295	0.00922911008	0.0242842465	0.027233566
n	0.422873700667	0.489074004167	0.0407383909667	0.000830007228333	0.009039206	0.0215647199133	0.0158799244733
a	0.147995157012	0.702731281389	0.128968085656	0.00247756334278	0.00342547457333	0.0076786257511	0.00672371429777
v	0.0494437051873	0.614198083796	0.317113081885	0.0104631527809	0.00158652576444	0.0035117555837	0.00368360639926
o	0.0165506743858	0.384545414599	0.569947463962	0.021173242927	0.00138302806148	0.00299484169457	0.00340523109975
r	0.0055969306686	0.1534142342	0.796708331321	0.0329804309757	0.00195331245383	0.00469698153152	0.00464969269992
à	0.0020763868762	0.0571394339	0.898078727107	0.0299258119919	0.00149321230128	0.00483033217717	0.00645606023331
s	0.0008649803104	0.0214716353333	0.946279959036	0.017397447664	0.00154522601709	0.00484427295906	0.0075964574111
o	0.0003154714328	0.00794886247777	0.933906319679	0.031216498888	0.0043314807057	0.00695141098635	0.015329944137
o	0.000133456503933	0.00303074024259	0.73181085656	0.131402222963	0.0858310462352	0.0210943776621	0.026697292379
s	0.000168252489978	0.00138743633086	0.41579138552	0.400582267654	0.130344736078	0.0313258458874	0.0204000755597
s	0.000232071726659	0.00412113177695	0.204453240173	0.667232342551	0.0655470975593	0.0243114262958	0.0341026712866
o	0.00016558823622	0.00541129092565	0.0980702417243	0.540399984184	0.0419160493864	0.0270163487653	0.287020447096
m	7.67012520733e-05	0.00255445951855	0.0462317557748	0.396938811395	0.0902888551288	0.0938129152551	0.370096485699
ì	4.01198959244e-05	0.000932361289517	0.0206667237916	0.321394693798	0.152962128376	0.148590045085	0.3554139319
k	1.61450402248e-05	0.000369303565706	0.00974229922053	0.129578341266	0.349896839459	0.143430701695	0.366966340633
a	6.6158424916e-06	0.000125415121869	0.00340585305684	0.0554011250887	0.503430326486	0.177735297232	0.259895336878
m	4.17126563053e-06	4.39101401897e-05	0.00122379943295	0.0220044061296	0.550820162162	0.216557225744	0.209346292293
è	2.38940867684e-06	1.52445160299e-05	0.000514384114983	0.0080236873512	0.464061474054	0.357677048581	0.169705717431
r	8.29537748947e-07	5.93366360997e-06	0.000277991570328	0.00278232459173	0.226518271351	0.638666749527	0.131747858044
i	8.91033106316e-07	3.83684290332e-06	0.000123673811109	0.00104895924724	0.104693585784	0.551049069842	0.343079961581
</S>	1.34890815316e-06	3.56822735166e-06	7.80484140545e-05	0.00054988129862	0.063502765892	0.318905414921	0.616958965791
