 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.72931565	0.096766114	0.010338296	0.0055788379	0.031901371	0.1260997535
c	0.643513323333	0.218181998	0.0460634813333	0.0146786892333	0.0237795143333	0.0537830211667
h	0.467814307778	0.308407059333	0.0831915971111	0.0235980627444	0.0286669887778	0.0883219747222
e	0.279919635993	0.524430936444	0.065461335037	0.0152677675148	0.0238901779259	0.0910301300741
p	0.0956749763977	0.789530218815	0.0589831210123	0.0084253087716	0.0133971449753	0.0339892525247
o	0.0339611147826	0.814483656272	0.105742950337	0.0123730935905	0.0174021159918	0.0160370635082
l	0.0181565075775	0.761617538757	0.173727110112	0.0158987531968	0.0203270656639	0.0102729588361
e	0.0128685710525	0.533212789586	0.305210713371	0.0571502583989	0.0587669225546	0.032790688612
m	0.0045265262775	0.246779966529	0.48079771779	0.1006681128	0.103918847518	0.0633088128707
ì	0.0017812523825	0.12133201751	0.64089566593	0.0997031742667	0.0815946711727	0.0546932299569
s	0.000677809794167	0.0545834925033	0.78485603531	0.0863383147556	0.0454283463909	0.028116022419
o	0.000235816946742	0.0199937389144	0.839331078437	0.0980805615852	0.0295320351303	0.0128267702397
n	7.95644076673e-05	0.00700318703613	0.791808509479	0.165171840528	0.0263745540434	0.0095623540799
t	0.000150195045956	0.00430074699671	0.618479696493	0.183738830176	0.0360966880145	0.15723382936
a	0.000173187756919	0.0034087723389	0.435419828831	0.287919140059	0.0534017893382	0.219677256453
ò	5.8087595373e-05	0.00118704774297	0.26806250361	0.416591006686	0.223290766446	0.0908106278177
l	1.99346126577e-05	0.000500065254323	0.11301809587	0.349859592229	0.504825208815	0.0317771591992
i	8.1035894859e-06	0.000282863708108	0.0594818046233	0.345311640743	0.560501302938	0.0344142973264
t	3.68855133863e-06	0.000117556347843	0.0312090348078	0.324463293581	0.556710480979	0.0874959291088
i	1.48373272288e-06	4.15199840877e-05	0.0114237657693	0.186534071194	0.662303706993	0.139695479703
n	8.43264107627e-07	1.66082691959e-05	0.00442793224643	0.0916435720647	0.738135582331	0.165775529901
a	6.36561689209e-07	6.95725129863e-06	0.00159109287214	0.0384561523549	0.766132057444	0.193813159967
d	4.68537515736e-07	3.33837716621e-06	0.000656888130713	0.0174213915516	0.616419669148	0.365498286656
d	1.03185617125e-06	5.00559690554e-05	0.0154755451836	0.0638023912839	0.403532649716	0.517138345552
o	1.25478332708e-06	6.58931343185e-05	0.0203808532482	0.077829372508	0.394608609905	0.507113998517
m	5.14786505693e-07	2.27068691062e-05	0.00681320061973	0.0266602493493	0.424263429968	0.542239876172
à	2.23496488564e-07	7.98363489207e-06	0.00229270010358	0.00988754191643	0.475462223323	0.512349318724
d	1.18052097521e-07	4.26715992069e-06	0.000799972321527	0.00592397200548	0.681224027774	0.312047635241
a	4.15839557384e-06	4.66766427356e-06	0.000327593560509	0.00470479940183	0.651136899258	0.343821890747
</S>	8.20683978692e-06	4.88817438678e-06	0.000215720350254	0.00324097930092	0.495087784629	0.501442445374
