 	stava	ancora	cucinando	</S>
ì	0.839102065	0.002627555315	0.070725159175	0.0875452583
s	0.945649541667	0.001263997015	0.0237935151183	0.0292930211083
t	0.809849880556	0.0109178618717	0.0200981183161	0.159134213178
i	0.655440426852	0.0682696356239	0.038344226772	0.237945764393
g	0.661215628951	0.150011231875	0.0453501745907	0.143422986464
g	0.633966386317	0.154025203958	0.0369389395302	0.175069450488
h	0.450132368772	0.136392724653	0.0514576955101	0.362017196829
e	0.195182127124	0.390488451551	0.0698748135034	0.344454601276
a	0.0666766234413	0.736457937184	0.0592762448345	0.137589140425
n	0.0230446195238	0.870131145728	0.0557448036115	0.051079378575
k	0.0144119746846	0.649580015243	0.122777531204	0.213230460292
ò	0.0122116537615	0.282561595081	0.167005497068	0.538221240097
r	0.00499563987383	0.229634415027	0.275436442356	0.489933483366
a	0.00173888683594	0.199618210676	0.491765914119	0.306876977789
m	0.00058309629973	0.0809292715587	0.651635371373	0.266852232596
a	0.00019570185916	0.0380912941862	0.736634423791	0.225078530865
r	6.72459110533e-05	0.0142899479621	0.762371674597	0.223271100288
è	2.34726691178e-05	0.00650503465403	0.787104158199	0.206367333429
o	2.20816146393e-05	0.00280350390801	0.608600696066	0.38857372781
n	2.17667161798e-05	0.00185268685934	0.605731825355	0.39239370327
t	8.31730335993e-06	0.00331382971978	0.700486591785	0.296191248423
a	3.619652912e-05	0.00309226694659	0.445630470595	0.551241082808
</S>	6.706239456e-05	0.0016638328333	0.286541995298	0.711727141404
