 	i	bambini	non	si	vestono	da	soli	</S>
t	0.8128599	0.102432683	0.000442118445	0.001039262525	0.00305639695	0.001167504365	0.0189043199	0.060097838085
a	0.602379976667	0.358695267667	0.006262136745	0.00188190925833	0.00273049195	0.000594434405	0.00710246018667	0.0203533263517
p	0.275464195556	0.699953142556	0.00841299777167	0.00313897735278	0.00283369688333	0.000371943125	0.00273233034889	0.00709270979723
e	0.123519917452	0.830339834185	0.0229265491139	0.0103244274509	0.00764073486111	0.000505373158333	0.00178716878296	0.00295599427908
t	0.0552020937507	0.870746831395	0.0312764673713	0.025710615817	0.012277902787	0.000681698612778	0.00222706002765	0.00187737101303
ì	0.0365583915836	0.890292643798	0.0245526301238	0.032817570939	0.0100888495623	0.000480729030926	0.00407133144255	0.00113791850768
a	0.0185289462679	0.670426957933	0.138701545041	0.145522469313	0.0172590806541	0.000676620843642	0.00730207481418	0.00158234141923
e	0.00633380392863	0.298165957644	0.35146877168	0.292481683104	0.042825758218	0.000863005967881	0.00616647767139	0.00169456545974
n	0.00221250725554	0.107583541881	0.330494373893	0.357949204368	0.192305259406	0.00296466380929	0.00530568129046	0.00118479690658
i	0.00086823015518	0.0420179780603	0.196015934631	0.303129988123	0.443620586469	0.0067431746031	0.00610923676349	0.00149489813553
n	0.00032864015456	0.0149518772034	0.132461434544	0.200830502708	0.63518904549	0.00854361153437	0.00599863392116	0.00169625537851
d	0.000133302345687	0.00561684658447	0.0566208985147	0.168994890903	0.592631865163	0.0250759038448	0.0176325519737	0.13329375046
ì	0.000261865396562	0.00443490849482	0.0232632067382	0.110853857968	0.544322521721	0.0428818396149	0.0616370453246	0.212344782153
n	0.000282448796187	0.00349648822494	0.0100991619794	0.0479250891893	0.707382553907	0.0484815215383	0.0737300077749	0.108602712551
n	0.00158888559606	0.00563723626831	0.0149394731598	0.0701085885964	0.616617281302	0.0574039375128	0.0579669452583	0.175737610684
o	0.00202371908707	0.0063015464331	0.0158249278866	0.0825049121988	0.390669123767	0.177704474504	0.103019891753	0.221951363561
t	0.000674713334067	0.00210433567577	0.00570703110553	0.0350278068996	0.444455837922	0.299491561501	0.105731887251	0.106806768187
t	0.000225886613746	0.000720787779657	0.00627953867851	0.0238618357999	0.431544695974	0.2759393205	0.0662569257503	0.195170943062
e	7.62783702687e-05	0.000259905299019	0.00620434788417	0.0194310987666	0.232850825325	0.347285780167	0.135394318583	0.258497429354
m	2.56589301862e-05	8.8427635273e-05	0.00220305418606	0.00730523898887	0.137119545108	0.506173960056	0.174767916194	0.172316211451
a	9.0528050054e-06	3.21210812243e-05	0.00087664008202	0.00305394171629	0.0936925023693	0.592118900019	0.184048715398	0.12616812915
n	3.6568803018e-06	1.34782300748e-05	0.000335009044007	0.00127528932543	0.0400565404564	0.579569096673	0.277059525133	0.101687398383
e	1.9188054006e-06	7.12561435827e-06	0.000144167718002	0.000630226635143	0.0187926254855	0.431409975558	0.448141328378	0.100872626128
c	1.0262896942e-06	4.10115112942e-06	6.4548128334e-05	0.000351854120714	0.00850298716183	0.247380590186	0.603136062793	0.140558838709
h	5.908535754e-07	3.55589751981e-06	3.5892172778e-05	0.000859111155905	0.00514768592061	0.126216006395	0.646345674264	0.221391492903
à	4.25893193245e-07	3.29033585345e-06	2.3142571696e-05	0.00101768664705	0.00279247805154	0.0548482644317	0.721382691421	0.219932030968
t	1.42189264027e-07	1.10010591966e-06	9.159430602e-06	0.000339866366703	0.00117560576185	0.0216543791106	0.790637863807	0.186181910323
u	5.10587881757e-08	4.47960051553e-07	6.56387680067e-06	0.000119036776501	0.000638398807283	0.0112380219702	0.697752611269	0.290244883441
</S>	3.06927720878e-08	3.41068510777e-07	6.49137790033e-06	6.72653357505e-05	0.000347557433642	0.0071303543851	0.602626540634	0.38982141172
