 	non	aveva	dove	aveva	per	stare	</S>
e	0.38225128	0.36691546	0.02277593585	0.0051331208	0.00510909218	0.005764134615	0.212050922235
n	0.256242154667	0.59957039	0.06252304595	0.00519347546667	0.00279849294667	0.00220552828167	0.071466870935
ì	0.102459733222	0.75126988	0.109525505317	0.00849664548889	0.00210089668889	0.00118081833722	0.024966530245
c	0.045425826074	0.732284226667	0.169069238439	0.0313076854963	0.00491088750296	0.00344112168907	0.013561038315
h	0.035112653358	0.671951142222	0.216885906146	0.0389476304988	0.00700863483432	0.00465801126302	0.025436033105
e	0.0228300806993	0.450255700207	0.411534322049	0.0399826154996	0.0236084279448	0.00331342732101	0.0484754543683
p	0.0077428714631	0.152160660502	0.668577994016	0.0798666184999	0.0471356996483	0.002391143127	0.0421250234561
u	0.0026385635117	0.051360523584	0.550184511339	0.305076996167	0.0485520935494	0.015548389529	0.026638923152
ì	0.000899353160233	0.0171731705997	0.244881919313	0.653424872056	0.0372407691831	0.023397197843	0.022982754384
c	0.000333484364411	0.00585280091157	0.101850347304	0.771418594019	0.0756844327277	0.021765418281	0.0230949704613
h	0.000637955016804	0.00380217662719	0.0897191891013	0.695872094673	0.149003497576	0.0199817050937	0.0409834191538
e	0.000718644413435	0.00302167991856	0.0675459694671	0.436292273224	0.413493859192	0.0156566206979	0.0632709813846
n	0.000240041057918	0.00100764509969	0.0226415795924	0.164796820741	0.735399439731	0.0186483088993	0.0572661894615
a	8.05256314793e-05	0.000336211577397	0.00763062103413	0.0728101085803	0.60162400991	0.264222369966	0.0532961688205
s	2.74169640431e-05	0.000112416580449	0.00256823904538	0.0274427330601	0.498243646637	0.404888839989	0.0667167379402
t	1.16554496644e-05	3.98024027663e-05	0.00139408441579	0.01239463542	0.657870838879	0.209455356996	0.118833672647
a	6.47334988813e-06	1.55590570221e-05	0.000994251932097	0.00538327987667	0.473047435293	0.329153279332	0.191399744216
t	2.42274077938e-06	5.33349710903e-06	0.000333050837466	0.00183923485056	0.169478277431	0.664744426444	0.163597251405
ì	8.40160194093e-07	1.81762382649e-06	0.000111837619669	0.000648311286853	0.064625850477	0.590508985481	0.344102343802
</S>	4.20401773497e-07	9.0909389596e-07	5.60914207045e-05	0.000338953115926	0.0341797622385	0.39181135774	0.573612491901
