 	ho	cosa	a	fare	</S>
è	0.67374199	0.03549677765	0.0737058733	0.17784028	0.0392150755
c	0.51885223	0.0810877192167	0.125942934433	0.225231906667	0.0488852188333
h	0.34055664	0.276123869739	0.104054403144	0.149426822556	0.129838262944
o	0.152075331133	0.49391796658	0.134687466048	0.054962138952	0.164357090981
t	0.0530891538443	0.567871255527	0.218386688683	0.028573061084	0.132079806994
i	0.0196356786981	0.399739512176	0.408935822894	0.0571527273613	0.114536225665
k	0.00675796021603	0.155342402392	0.666206840965	0.0684433954538	0.103249398555
à	0.00273093730534	0.0663366596907	0.572072950322	0.269774934818	0.0890845295183
i	0.00128805043811	0.0222657518036	0.280509171774	0.364117561606	0.331819463173
</S>	0.000653189723555	0.0112240924218	0.163882513387	0.237978855803	0.586261331586
