 	non	li	aspettiamo	più	</S>
e	0.16563437	0.438145355	0.0231917713	0.1208784265	0.25215006035
t	0.114774277	0.745620751667	0.0110539493	0.0433726521667	0.0851783096833
u	0.0524871043333	0.851413917222	0.0433265891	0.0213030320556	0.0314692911278
s	0.0244240144444	0.890981092407	0.0568644627	0.0143017350185	0.0134286678759
m	0.0200180474815	0.697475210802	0.117141510567	0.0290990003395	0.136266221559
è	0.0187021880605	0.327221330267	0.354218683522	0.0491570211132	0.250700747186
n	0.0114554645868	0.177911713422	0.580482871174	0.0558412313711	0.174308688395
u	0.0071827881296	0.111049765774	0.572408783725	0.11372463379	0.195634018798
m	0.00267482695387	0.0421906672247	0.502510124575	0.24247667793	0.210147719599
e	0.00116863763096	0.0188189762072	0.352287650525	0.49564003931	0.132084704866
p	0.000444511899987	0.0063655541814	0.138267432508	0.75597827977	0.0989442299553
l	0.000262381896662	0.00302606330713	0.062686373836	0.785694693257	0.148330516652
è	0.000157000126554	0.00201286730238	0.028133775912	0.755920364419	0.213775998884
o	7.59296181847e-05	0.00085702724946	0.0122793734707	0.664005774806	0.322781886295
</S>	6.69927965923e-05	0.00044132594773	0.00971234653535	0.549798067403	0.439981263147
