 	forse	stanno	ancora	svegli	</S>
f	0.922151075	0.0050340627	0.0056887351	0.0052903677	0.061835742285
ò	0.966766908333	0.00563299673333	0.00460315436667	0.00212717543583	0.0208697587117
r	0.986802046111	0.00388379136444	0.00159239140722	0.000713573062777	0.0070081839337
s	0.674695103037	0.0200212704081	0.00839755842074	0.0238104342026	0.273075615914
i	0.452696912012	0.113022634803	0.0136071314736	0.0320196641009	0.388653661971
s	0.374122005337	0.432445011601	0.0215054798245	0.0117602297336	0.160167282657
t	0.148243535446	0.710542960534	0.0346030039415	0.0184955045779	0.0881150095523
è	0.174922290815	0.669258153511	0.0352024633138	0.0203566829826	0.100260413184
o	0.168636650572	0.509379274504	0.229501086438	0.0088119745842	0.083671002728
n	0.0563788220083	0.463229528168	0.432159518813	0.00606424072807	0.0421678899093
e	0.0188439999938	0.368514926056	0.587451656271	0.00347783937602	0.0217115836364
a	0.0063901236046	0.159560370519	0.819258295424	0.00250661139201	0.0122845788788
n	0.00271469633487	0.0583636578397	0.929789065141	0.00331698909734	0.0058155268596
k	0.00324457701162	0.0330259631132	0.65391480238	0.00612063513245	0.303693954853
ò	0.00338033817054	0.0244363771711	0.24228518146	0.00654558264415	0.723352511618
r	0.00161113652485	0.0144259515237	0.388331540487	0.00910902848138	0.586522387206
a	0.000644115266283	0.00888891133123	0.593886170162	0.0715923868271	0.324988492402
a	0.000349752892094	0.00320287314374	0.381053710054	0.329927295609	0.285466400801
t	0.0025262061107	0.00119391515791	0.255008646685	0.57100213187	0.170269091934
s	0.00335223949023	0.00112886278597	0.234423608895	0.611438343957	0.149656935645
ù	0.00138953091674	0.00125791486199	0.133300217632	0.510429931319	0.353622401882
n	0.00060503717848	0.000709399095663	0.0700584002107	0.454254527106	0.474372643961
n	0.000217151272393	0.00116453187355	0.0349093586369	0.354295309035	0.609413657987
i	8.84729874643e-05	0.00129628566122	0.0140077699923	0.421089703012	0.563517785996
t	3.06161839548e-05	0.00044670451611	0.00577489601077	0.450123151004	0.543624648665
i	1.12137556849e-05	0.000163829853237	0.00305845405359	0.205308480335	0.791458036222
</S>	6.45667219245e-06	8.24278599185e-05	0.00169304840179	0.142910660167	0.855307418111
