 	vengono	vestiti	</S>
è	0.89804101	0.0174955869	0.084463417375
r	0.964126746667	0.00748013303333	0.0283931242083
k	0.797745202222	0.0260294398111	0.176225364903
u	0.470187634074	0.227065306604	0.302747074968
t	0.427966424691	0.351883868868	0.220149738323
t	0.407716774897	0.246821322956	0.345461946108
e	0.191138847999	0.393985830985	0.414875348703
n	0.0648439749663	0.679312566995	0.255843479568
d	0.0465814362554	0.610032365665	0.343386213189
i	0.0401965898651	0.415976508555	0.54382691773
m	0.0134409964307	0.435086579518	0.551472439243
è	0.0044941730059	0.443640946506	0.551864889748
n	0.00151532860163	0.486492158835	0.511992503249
a	0.00054236450521	0.463895819612	0.53556181775
</S>	0.000312253560105	0.350878709806	0.648809058875
