 	non	mi	aspetti	non	vengo	</S>
m	0.497184455	0.0145988765	0.01366366825	0.00393897026	0.261546795	0.209067208
ì	0.462915562333	0.0141558578333	0.01630083025	0.0235419489267	0.407022551667	0.0760632226667
m	0.186234018111	0.0420965152778	0.0447403554167	0.0427153429756	0.609432970556	0.0747807788889
e	0.102845039704	0.0858032517593	0.180341718472	0.0363929209919	0.448576356852	0.146040692963
m	0.0557715062347	0.272421927253	0.261161386157	0.023947331664	0.241350882284	0.145346989321
ì	0.0304753764249	0.306403293751	0.412325075386	0.0252865785547	0.148482085428	0.077027626107
n	0.012239708155	0.121886349917	0.460477798462	0.0282633165182	0.324295369809	0.052837455369
i	0.005936984615	0.0518802799723	0.284334549487	0.221994745839	0.36037150327	0.0754819004563
e	0.002068169855	0.0187159254574	0.214159006496	0.481445681946	0.199155917757	0.0844552834854
n	0.000816941741667	0.00696613317247	0.122381712832	0.367515003982	0.443011642586	0.0593085821618
è	0.000318304697676	0.00240932983841	0.0415954774073	0.135983778327	0.788273047529	0.0314200488206
r	0.000106613972012	0.000803728777653	0.0139405710008	0.0516631856057	0.922259749176	0.0112261151069
k	0.00112678421634	0.00149757579648	0.0313145897353	0.0220385866986	0.828760466392	0.115261976769
o	0.00146650607355	0.00172853622509	0.0371028892691	0.0122050800662	0.473161854464	0.47433511559
m	0.000488974285385	0.00057633907897	0.0124038942904	0.00563686508873	0.454883580488	0.52601034853
e	0.00016449284423	0.000194400787663	0.00421832401347	0.00539186259624	0.497642950163	0.492388002843
</S>	8.4451806615e-05	0.000100476569331	0.00218454811674	0.00576166329812	0.335044740081	0.656824151422
