 	non	ti	dimentichiamo	mai	</S>
e	0.173161	0.466617582	0.016983836	0.148489775015	0.194747824775
s	0.106317713333	0.762871780667	0.0140842533333	0.051171461015	0.0655548112083
e	0.0484915237777	0.885395816889	0.0238864241111	0.019065144105	0.0231610863361
a	0.0231411076926	0.885794728963	0.074871017037	0.00721826206833	0.0089748443787
l	0.00859313609753	0.581592331988	0.383882379012	0.0222197142894	0.00371241343623
l	0.0150391551325	0.226481308329	0.559504519671	0.0748834187631	0.124091617022
i	0.0180906243108	0.114285582443	0.417550876557	0.104029567921	0.346043355674
m	0.00839255917027	0.068703696481	0.436635335519	0.15047599764	0.335792405225
o	0.00424701304342	0.039042645627	0.539183078506	0.22940699588	0.188120275075
n	0.00151148642447	0.0138169869757	0.447848652835	0.41824177196	0.118581082358
ù	0.000585794054823	0.00565230862523	0.217608487478	0.697211533987	0.0789418901193
m	0.000221539783274	0.00373012897508	0.0817730833593	0.861458221329	0.0528170603731
e	8.4132888258e-05	0.00229440439569	0.0366941314531	0.80882610711	0.152101228458
m	3.59291592527e-05	0.000789378260897	0.013291499871	0.771488935703	0.214394266153
à	1.82555824809e-05	0.000293284264299	0.00463877586533	0.877177545234	0.117872133051
i	1.69838338903e-05	0.000112977588766	0.00167233727011	0.696008118411	0.302189578684
</S>	2.47895489451e-05	6.1803016883e-05	0.00100311782505	0.471623914205	0.527286389342
