 	non	aveva	cosa	a	fare	</S>
e	0.34462411	0.2461062875	0.0341053666	0.01216928865	0.19571774585	0.16727725965
n	0.295170913333	0.486443995833	0.0786011155333	0.0106456093167	0.0693515201833	0.0597869229833
ì	0.122287777778	0.719017085278	0.0912577908444	0.0133384131056	0.0302651590611	0.0238338736278
c	0.060781945926	0.741891861759	0.0910389526148	0.0273012563685	0.0520878193537	0.0268982428426
h	0.0459262219753	0.68864615392	0.130188180872	0.0322462374562	0.0576346827846	0.0453585322809
e	0.0265233858551	0.46945709824	0.301399336957	0.0723049244854	0.0261136149282	0.104201616427
t	0.00890291249503	0.157447153013	0.587141712319	0.115743364828	0.0157939119761	0.114970921142
i	0.00301597462301	0.0530115445243	0.510321510773	0.334578174943	0.0340930616587	0.064979702714
k	0.00104610433234	0.0178293920614	0.258502783591	0.612957991648	0.0469721305529	0.0626915675713
à	0.000383421188047	0.0060751037957	0.148063891297	0.513979337216	0.268924736851	0.0625735131904
m	0.000150096516616	0.00205064915047	0.051711711399	0.346744592405	0.55278298895	0.0465599817301
i	7.16688183053e-05	0.000707565282823	0.0193562481763	0.226980064135	0.42738153965	0.325502930577
</S>	3.65482933026e-05	0.000354408275411	0.00983420435315	0.122598122067	0.250940919825	0.616235815289
