 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
e	0.51824155	0.03697258	0.01130350237	0.01085654136	0.00779032451	0.006010955713	0.004862184447	0.027772297665	0.13197061884	0.010900826805	0.0152907364	0.05674920303	0.004903914462	0.0278815923404	0.128493207364
t	0.827940153333	0.0225725546667	0.00405737430333	0.00380899328667	0.00271505481667	0.00206353206767	0.00169502914033	0.00949366759833	0.0440451442617	0.003688320115	0.00515012321	0.018961378693	0.00166410226367	0.0092959057985	0.0428486857107
t	0.851852294444	0.0615544945556	0.0126356583678	0.00648811568889	0.00368960691222	0.00277012827722	0.00267640030678	0.00953989713278	0.0157871275089	0.003080040015	0.00311103788	0.00697950956067	0.00138956955622	0.0033293550576	0.0151167844172
è	0.538911557481	0.385584004852	0.0190351397893	0.0093084270963	0.00498053770407	0.00348236442574	0.00342274453559	0.0115106591776	0.0065235716363	0.00307345703833	0.00251408461333	0.00308318477689	0.00132270654541	0.00134371563587	0.00590386782073
d	0.187617738727	0.733521724951	0.0328803319298	0.0135512512321	0.00550523763469	0.00265340677525	0.00319802881186	0.0121926095259	0.00234767225877	0.00142932274611	0.00098737578111	0.00113088696976	0.00051760501847	0.00045995405229	0.00200687672758
e	0.063892265609	0.74503113165	0.0642472973099	0.0361663804107	0.0179048098782	0.00669050479175	0.00962589203729	0.039179922842	0.00305815719959	0.00454728861537	0.0041279931837	0.00192335967739	0.00219493368282	0.000251571241097	0.00115849518153
c	0.0220189362497	0.712736493883	0.108210512437	0.0468202648036	0.0228334916261	0.00859838593058	0.0120222904458	0.046603065614	0.0032972129552	0.00564875217179	0.00519433917457	0.00218739891183	0.00276232186427	0.000189256137032	0.00087727124051
i	0.0074129183499	0.793441594628	0.120174627479	0.0284570522679	0.011392600142	0.00447532148686	0.0059247814786	0.021413987738	0.00114938055173	0.0021850440206	0.00183571300486	0.000743075346643	0.000988269041423	8.19418116773e-05	0.000323707193503
d	0.00253835080997	0.667289878209	0.214493162493	0.0488935900893	0.0176547036473	0.00712707533895	0.00910155138953	0.0266550831127	0.000672482995243	0.0026707636702	0.00144748476829	0.000272025083214	0.000865128963808	9.54342265591e-05	0.000223304157834
è	0.000858407949257	0.58573350607	0.282857720831	0.0571108516964	0.0198868539824	0.00800929922298	0.0102034535465	0.0293021190376	0.000560116851748	0.0028495385334	0.00137402282276	0.000139688522071	0.000827713154603	9.85707781864e-05	0.000188115805945
t	0.000287496111352	0.61654713869	0.298003740277	0.0412388222321	0.0112826664275	0.00442575771766	0.00585682283217	0.0179412430125	0.000418929327249	0.00177048062113	0.00103213844092	9.2195951357e-05	0.000830735184868	0.000103000205395	0.000168769328648
s	0.000113153796117	0.436328762897	0.434167580092	0.057765238744	0.0148735998092	0.00843863410589	0.00818896051072	0.0241259423375	0.00195299456575	0.00582402000704	0.00352966568031	0.000155587194452	0.00195915132829	0.000877440991798	0.00169921524288
a	5.45665414457e-05	0.275537964299	0.569901993364	0.0840743975813	0.0138141651031	0.00850868760196	0.00691453547024	0.0222298717792	0.00261782170192	0.00661642688568	0.00412276017344	0.000350811848151	0.0018976351961	0.00108703784793	0.00227128142763
m	1.83970940886e-05	0.1557131461	0.632094031121	0.147312659194	0.0209095938677	0.00929113443399	0.00732102112341	0.0175467292597	0.00129701136731	0.00372802967856	0.00208657197115	0.00030286306605	0.000966645875367	0.000462812666643	0.000949318085877
o	6.3042289102e-06	0.0627154427	0.514322530374	0.328473443065	0.0431348469559	0.014655745478	0.00894962604114	0.0161664190866	0.00208929157577	0.00333231945952	0.00216078352372	0.00158244103868	0.00105015468179	0.000396390142214	0.000964217358626
n	2.19078795073e-06	0.0259008548133	0.350312256791	0.472846981022	0.080825065652	0.019753218826	0.0118686296804	0.0237610460289	0.00259383022526	0.00380315921984	0.00266500130791	0.00202149335956	0.00206992269393	0.000464889900738	0.00111141380954
a	8.18700567243e-07	0.0097661593511	0.22983812693	0.550547227007	0.123207778551	0.031424224942	0.0145628022268	0.0262840050096	0.00228462094175	0.00388759123995	0.00255875850264	0.00173673499985	0.00243259069798	0.000498027586913	0.00097054219318
p	3.09164927748e-07	0.0041134277887	0.113283063643	0.578536525669	0.187979929517	0.052865319314	0.0214490334089	0.0291330000032	0.00195094013725	0.00409177624665	0.00211653826755	0.00163167583062	0.00163345403266	0.000420156248971	0.00079490682106
à	1.34177449949e-07	0.0016278705879	0.0537095005477	0.498423958556	0.297912026506	0.065788188438	0.031000836803	0.0406894116677	0.00153775726908	0.00450854658222	0.00192052782252	0.000959977640873	0.00123153924422	0.000254955086324	0.000434762750353
m	4.87607073497e-08	0.000824234962633	0.0296592588492	0.516119072852	0.326100285502	0.0557755818127	0.0278180992677	0.0363453902226	0.00128156252236	0.00278791582741	0.00136223903084	0.000731184346291	0.000810507401407	0.000126393344441	0.000258189173784
e	2.00645896832e-08	0.000366945334211	0.0191725654831	0.496909624284	0.331398745167	0.0895708629376	0.0302201217559	0.0270800227409	0.00104556127345	0.00184656990914	0.000947950233613	0.00061162388143	0.000514344207136	6.50995624803e-05	0.000249955294928
s	7.03794622773e-09	0.00015329210047	0.00846147336103	0.344991111428	0.424260338389	0.151300130979	0.042799452252	0.022125701247	0.00104646042448	0.00237354366971	0.00101700464454	0.000572713334143	0.000531820655712	9.55280594934e-05	0.000271437161643
i	2.48806855591e-09	6.045011189e-05	0.00327522917368	0.206535297143	0.468854562796	0.220054250326	0.068042424084	0.0243967450823	0.00173549590816	0.00315061332324	0.00145264954818	0.00110205845171	0.000776664018571	0.000158983756498	0.000404573837214
t	1.28636473197e-09	2.96339968633e-05	0.00133541104123	0.104598770381	0.426642714265	0.314308576775	0.108390348028	0.0332292393608	0.00200761158272	0.00492848734108	0.00167084018273	0.00128070822824	0.00090701402619	0.000207498592166	0.000463150145738
à	8.22274272323e-10	1.09680979211e-05	0.00051610876041	0.046991418127	0.432987791422	0.288234068925	0.158553629343	0.0613647851203	0.00161078347424	0.00596693954703	0.00176148982758	0.00074093227708	0.000812196962063	0.000184352560722	0.000264551261913
l	9.23714028577e-09	5.9148043737e-06	0.000242672076803	0.0218325193757	0.455361923807	0.185695029642	0.219439756448	0.108469411707	0.00137556299008	0.00449010404901	0.00159540740253	0.000558742094027	0.000656780310688	0.000114068126907	0.000162081232638
a	1.22217611619e-08	6.29657129123e-06	0.000166336162268	0.0117892697919	0.331131284602	0.241178016547	0.281208858816	0.123117057236	0.00186738682869	0.00617915711634	0.00150101066084	0.000795749276342	0.000657553526896	0.000106573435636	0.000295386856213
s	4.2885405773e-09	4.84554583508e-06	9.3551643606e-05	0.00697858093063	0.251429578201	0.348817015516	0.286791222939	0.0904081100787	0.0023589259429	0.00896262403878	0.00190595658695	0.000878909050447	0.000788084152299	0.000187470635212	0.000395080062071
s	2.04108331577e-09	7.75643251636e-06	0.000676199074052	0.0174888203102	0.274700772734	0.361544845172	0.214844819646	0.0528930763596	0.0174286228143	0.0107487040129	0.00456618102898	0.000828369475149	0.0018334785941	0.0107268412251	0.031711504764
a	1.68719900526e-09	9.05899953879e-06	0.000871855987017	0.0204857498701	0.193703351911	0.287872868391	0.213024735215	0.156090217453	0.0344948759381	0.0174901893376	0.0106091270097	0.00380548415838	0.00290637643137	0.0147250077417	0.0439111311547
ò	9.86600929087e-10	3.3690043656e-06	0.000292359494872	0.00712822355203	0.0809157962037	0.149591077464	0.204435925072	0.477128562484	0.0248216267794	0.0176993121125	0.00962638630323	0.00436927426946	0.00199413427712	0.00550851176523	0.0164855061082
l	1.01117743703e-09	1.1709280092e-06	9.8686651724e-05	0.00245208164934	0.0356353849679	0.055579892488	0.189916908357	0.683039187495	0.00926724824313	0.0105045190375	0.00375836586774	0.00155912333049	0.000812906655707	0.00185115571108	0.00552343292173
