 	il	lenzuolo	vuole	lavato	</S>
o	0.8332693	0.094554493	0.003933989	0.0137542089	0.0544880433
p	0.7053352	0.265153971	0.0053932702	0.00509744693333	0.0190201280167
l	0.4368172	0.474683630333	0.0111657939333	0.00959650701111	0.0677368860556
a	0.228656075333	0.644937310111	0.0150953479778	0.0191407450037	0.0921705313519
ù	0.112697925178	0.775088686704	0.0564301126593	0.0161790776012	0.0396042243173
n	0.0431211437927	0.825273212235	0.0950972495531	0.0191012164671	0.0174072096391
a	0.0188175807976	0.585129024078	0.328411885184	0.0456127611557	0.022028780213
t	0.0063402187932	0.229991790359	0.682350028395	0.0587964113852	0.0225216224043
è	0.0022813169984	0.0876072992863	0.852122909465	0.0449036247951	0.0130848878014
l	0.00116958692613	0.0348277299288	0.914273813155	0.041675938265	0.00805291446713
i	0.000714189215377	0.0153709916229	0.651925787718	0.301284309422	0.0307046853557
p	0.000307290433342	0.00545076371763	0.344904219239	0.560133436474	0.0892042784519
l	0.001178946686	0.0156291747692	0.227967844413	0.599098812158	0.156125232817
i	0.00147625740567	0.0190308586014	0.0988239439043	0.525396254053	0.355272684272
m	0.000499138294063	0.00636957723047	0.0365933409681	0.505389468018	0.451148468091
è	0.000166630491134	0.00213319573249	0.0152505366227	0.492072436006	0.49037718603
n	5.56547202223e-05	0.00071471925023	0.0089357029409	0.447270725335	0.543023168677
o	1.91722382118e-05	0.00024230249581	0.0064474333403	0.373252331778	0.620038726226
</S>	1.04970484559e-05	0.000125990313405	0.00339638571015	0.243538550889	0.752928543113
