 	non	aveva	da	stare	</S>
e	0.40915587	0.254400405	0.0171669441	0.00776405535	0.31151276155
n	0.326601503333	0.538501951667	0.0239694341	0.00403676635	0.106890392683
ì	0.129120502111	0.801425937222	0.0270893243667	0.00319211251667	0.0391721691943
c	0.0636382507037	0.839596352407	0.0491847801222	0.0109082499056	0.0366724002314
h	0.0508375192346	0.793068654136	0.0888494400407	0.0151951103019	0.0520492367438
e	0.0307075264915	0.529706410712	0.350284703347	0.0154573881006	0.0738439255813
n	0.0102772620438	0.177984700304	0.722220207782	0.0197392847002	0.0697785441938
a	0.00345935360027	0.060302903308	0.586928600927	0.2901110639	0.0591980820646
s	0.00118663237242	0.020275027666	0.464053615309	0.442916814633	0.0715679190215
t	0.000587249530807	0.00720177037867	0.603533958436	0.231920062211	0.156756939674
a	0.000360332311036	0.00270112840556	0.408747784412	0.32801351807	0.260177216558
s	0.000121893300245	0.00090405549002	0.139653783137	0.64849377269	0.210826462186
ì	4.19218062483e-05	0.00030438215196	0.049282596079	0.57846166423	0.371909394062
</S>	2.10708386742e-05	0.00015264934566	0.0250553854895	0.377198742115	0.597572147031
