 	lo	ho	finito	di	fare	</S>
t	0.79087607	0.0241099335	0.04488276815	0.00223821525	0.07336436235	0.06452876651
o	0.726238933333	0.202265366167	0.0203251628167	0.00238144675	0.0264912656833	0.0222978849767
s	0.453864511111	0.505528875389	0.0175254112722	0.00299580658333	0.0109609746444	0.00912441929223
p	0.315450447037	0.46308548513	0.0325331834241	0.00964031602778	0.0172530709648	0.162037475597
ì	0.214846662346	0.433979145043	0.085861679808	0.0179051160093	0.0251406009883	0.222266776866
c	0.108976517449	0.459471655014	0.260608313269	0.0242914193364	0.0223284643294	0.124323617289
c	0.110715922483	0.304391181671	0.387053684423	0.0264013544455	0.0194720811098	0.151965765763
e	0.0913436458363	0.181772790557	0.442922041474	0.110436199482	0.0182949090366	0.155230416588
t	0.0305779263941	0.111326536852	0.433217293825	0.279879429827	0.0394667403455	0.105532046863
s	0.0164391395714	0.113456638951	0.365304134608	0.258707304942	0.0557382884485	0.190354465621
a	0.0116426563671	0.069774527117	0.382068511536	0.273081056647	0.0548273694828	0.208605877207
a	0.00389104387417	0.0235201211223	0.283140753845	0.562138185549	0.0420578341609	0.0852520754023
t	0.00129833955516	0.00793993155743	0.140082887948	0.78314978185	0.0268782710536	0.0406508068008
s	0.000511055253687	0.00514362165248	0.108890514316	0.593009847283	0.0523110490179	0.2401339196
è	0.000250755529562	0.00457599531749	0.0822242374387	0.278326605761	0.270915229673	0.3637071532
k	8.6360506654e-05	0.00194681672783	0.0369011713462	0.27850910192	0.417954793224	0.264601717733
à	2.89508828113e-05	0.00069561030061	0.0145396664487	0.254946177307	0.514818197741	0.214971372578
m	9.7663964371e-06	0.000251319535203	0.00559972279957	0.135121072436	0.704776715914	0.154241397526
i	3.58065285237e-06	9.66595947343e-05	0.00205847007486	0.0809778291453	0.607769295305	0.309094172509
</S>	2.17712742619e-06	5.69452233672e-05	0.00105916997493	0.0485730020727	0.462973632653	0.487335086254
