 	il	vestito	della	sposa	vuole	bianco	</S>
t	0.941494275	0.01460375285	0.00081457045	0.00260843385	0.000935190445	0.00642391928	0.033119837435
o	0.907489605	0.0710857916167	0.00245568438333	0.00252472681667	0.00135354911167	0.00349768134667	0.0115929455017
n	0.716404315	0.263089883872	0.00693991079444	0.00488287603889	0.00158669551722	0.00263005668222	0.00446622917723
à	0.393586251667	0.590407671291	0.00709114053148	0.00492647337963	0.000889211919073	0.00148578261741	0.00161346999574
b	0.145568548889	0.844510857097	0.00458594894383	0.00318439132654	0.000545253833024	0.000997718929137	0.00060730744858
b	0.13323147463	0.676569345699	0.0236149551479	0.0132492436088	0.00397916103767	0.00844119247638	0.140914655606
e	0.124953821443	0.454288648566	0.134246885049	0.0233024758696	0.00601443677922	0.0387962601588	0.218397501869
t	0.0425941523243	0.498044622855	0.267285505016	0.0312292702899	0.00704877469307	0.0476858387196	0.106111852956
o	0.0144055327981	0.359194050952	0.477711628339	0.0696570317633	0.00998475056436	0.0289460125732	0.0401009827853
a	0.00483333799937	0.126993872317	0.64954905278	0.168857377254	0.0156372458548	0.0179296051911	0.0161995064618
t	0.00162719143912	0.0454511447723	0.58821468426	0.329932245751	0.0189651069516	0.0095590961637	0.00625054283393
s	0.00508495559904	0.0359751069241	0.443193134753	0.325682661917	0.0160705243172	0.0388940598212	0.135099555558
è	0.00670886366635	0.035554042808	0.295969804918	0.254078580639	0.0220112561057	0.0641267832737	0.321550671853
k	0.00271904273505	0.0162741189693	0.191938060306	0.42200847688	0.0572912533686	0.0517866430912	0.257982395284
o	0.000914599274617	0.0056145014731	0.112779228102	0.57442528896	0.113252944456	0.0594187063637	0.133594683095
r	0.000312882886802	0.00190002600837	0.0616096733673	0.568178642987	0.198477494819	0.0716074521212	0.097913798365
à	0.000104512635364	0.000644242122457	0.0376283872891	0.429669350996	0.32288168494	0.124707370707	0.0843644651217
s	3.5042063563e-05	0.000221369768152	0.0160767553964	0.234653480332	0.49746935498	0.181932990236	0.0696110150406
i	1.2088244596e-05	8.1597979384e-05	0.00598778668547	0.115108033444	0.475083898327	0.319018330079	0.0847082866802
t	4.441232192e-06	3.46270636947e-05	0.00234717984182	0.047585709248	0.445439362776	0.387401810026	0.117186918893
è	1.51927943733e-06	1.22534472316e-05	0.00096052832394	0.021118229516	0.402188600925	0.502899736675	0.0728191469643
l	5.64899207777e-07	4.99497524387e-06	0.00041586336298	0.0103560351387	0.181653614642	0.779065455558	0.0285034592881
i	3.48638077926e-07	7.06390681462e-06	0.000168960738993	0.00397302742957	0.070451101314	0.814371195186	0.111028306063
à	2.51576088642e-07	7.26554278487e-06	6.4964847791e-05	0.00141058979966	0.0239993776047	0.835792298395	0.138725281754
s	9.06147469807e-08	2.45699338762e-06	2.20567616237e-05	0.00049694793302	0.0093706651349	0.942388099465	0.047719692818
p	3.23393622936e-08	8.50785351873e-07	2.78477477746e-05	0.00035844830434	0.00825706324497	0.722104246488	0.269251493439
r	1.45631846312e-08	3.32079153958e-07	3.90533075915e-05	0.000739106468113	0.0129435270817	0.605133662163	0.381144301146
o	5.32979793544e-07	2.35966514465e-06	2.40665637638e-05	0.000704238390704	0.0107737749939	0.521549337388	0.466945703715
</S>	1.05539089677e-06	4.52239907232e-06	1.41879912319e-05	0.000359882347352	0.00554142844695	0.308863493694	0.685215451857
