 	sta	seduta	nel	giardino	</S>
s	0.78762135	0.0332923855	0.0097540222	0.065738921	0.10359330337
t	0.69329667	0.0539550335	0.0166598888667	0.100522894333	0.135565490037
è	0.49799389	0.156453197833	0.0275561749556	0.157224358111	0.160772350012
i	0.3300824204	0.462795745944	0.0370179169852	0.10147109937	0.068632787304
k	0.114103586533	0.764541251981	0.0567200923284	0.0409240731233	0.0237110038347
a	0.041543986521	0.68019294066	0.192324930776	0.0675730043744	0.0183651597116
s	0.0140708008803	0.41883008022	0.464633313592	0.0842484037915	0.0182174175705
i	0.00476856908343	0.21116847474	0.692876664531	0.0772639035972	0.0139224151902
m	0.00162785503614	0.08132830858	0.82679493151	0.0760798131991	0.0141690980634
m	0.00147700042705	0.0584446251933	0.829025810503	0.0562432050664	0.0548093763545
è	0.00155281879568	0.0483847000644	0.675180130168	0.140715227022	0.134167145451
n	0.000648865728693	0.0196997008881	0.624948703389	0.228912525674	0.125790211817
i	0.000219224706931	0.00736051444603	0.466107794463	0.351781961891	0.174530527272
s	7.41351452837e-05	0.00249913778201	0.244584171488	0.546770137297	0.206072435757
t	5.54014608346e-05	0.00190368137734	0.229626733829	0.451207301099	0.317206855252
o	4.95530761115e-05	0.00168391092778	0.150354282076	0.409361969033	0.438550265084
n	1.72206035038e-05	0.000569652974593	0.0540461061587	0.555140936344	0.390226088361
g	2.98826101346e-05	0.0011808721882	0.0483049100529	0.518484355448	0.431999999454
h	0.000180383666712	0.0036070998294	0.0490135300176	0.318943288483	0.628255716485
i	0.000206837985204	0.00343078674185	0.0221041860355	0.280796579494	0.693461618828
a	6.92999069847e-05	0.00114519172524	0.00741265711817	0.468374396498	0.522998459609
r	2.41079995449e-05	0.000389512787647	0.00260851720939	0.497749762166	0.499228103203
d	9.49759088163e-06	0.000142426510549	0.0012296805098	0.337260804055	0.661357611068
ì	3.82544793054e-06	5.7230812183e-05	0.000719857533267	0.423689021352	0.575530090356
n	1.30423004751e-06	2.35951320943e-05	0.000333416243089	0.544651453784	0.454990250119
o	9.21606649837e-07	1.32055553981e-05	0.000166450039696	0.362279071261	0.63754035004
</S>	1.18023947492e-06	1.32438436991e-05	0.000105163884848	0.254020475631	0.74585992502
