 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.70213077	0.2098589565	0.00796824363	0.00960457365	0.0378080035	0.0058046449	0.0107290766	0.00118271325	0.00122891201	0.01368403753
p	0.47672427	0.446203918833	0.0144291745433	0.0206776488833	0.0287023561667	0.0027637534	0.00393668	0.00120376601667	0.000635624923333	0.00472274498
è	0.248508523333	0.683921706278	0.0166729838478	0.0209046369611	0.0232922160556	0.0015436908	0.00164871448333	0.00130460770556	0.000499498721111	0.00170338795
n	0.114961349778	0.848209392093	0.0111691397159	0.0102644401537	0.0123130956852	0.000811038319667	0.00073598343311	0.000681563315187	0.00026312760937	0.000590901410233
s	0.0718477965927	0.682117544031	0.0207502340053	0.0118430055512	0.00948923056173	0.00847158599289	0.0309016266664	0.0117820405851	0.0332157054055	0.11958127539
e	0.0524912599609	0.593776704677	0.0469133193351	0.0190045391837	0.0101646541872	0.012158214331	0.0420481943888	0.018330242195	0.0456017322018	0.159511163097
t	0.0183459566836	0.712892648226	0.112487286445	0.0339506853946	0.0103916163957	0.00634755494367	0.0162400606963	0.0147916423983	0.0201559751339	0.0543965764657
s	0.0269355424945	0.622374236075	0.157318905482	0.0542430767982	0.0140792874652	0.0123092534812	0.0306923472988	0.0201972174661	0.0241092910446	0.0377408586219
e	0.0290248556342	0.379903432025	0.300708595161	0.120852280599	0.0253004091551	0.0227000361604	0.0399483010996	0.0241452994887	0.0253247553482	0.0320920544406
k	0.0096839393424	0.138099891342	0.510607498387	0.217203636866	0.034249930385	0.0203725358868	0.0207817115999	0.0209562684962	0.0149437457827	0.0131008230469
a	0.00323637747613	0.0473284255473	0.483678846129	0.324448665622	0.0580158854617	0.0283382424623	0.0138171577666	0.0225929028321	0.0119544145942	0.00658906601563
o	0.00108447920591	0.0161896147324	0.285750602043	0.500470555207	0.111397835154	0.0413521961541	0.0105790258555	0.021715995944	0.00833699356473	0.00312271703854
l	0.000373235348837	0.0056441579508	0.116866754781	0.546052985069	0.278555971718	0.030574945718	0.00493131568517	0.0117303979813	0.00390386255491	0.00136639745285
à	0.000134842963679	0.0019692165286	0.0435351134937	0.34110944169	0.528312857239	0.0518226192393	0.0175987603617	0.0120660153271	0.0027534083183	0.00069771985095
d	8.93796819597e-05	0.0011404931312	0.0176137070979	0.151806943897	0.693304705746	0.0643967744131	0.0334115911206	0.0288957707757	0.00877722323943	0.000563384730317
r	0.00530240100732	0.0171570793771	0.085230337166	0.170968157966	0.505963676582	0.0341239191377	0.0334424030402	0.0353058525919	0.0178831984131	0.0946229517301
o	0.00699657425201	0.022019749091	0.107265339155	0.162088855322	0.189444851527	0.0994161940459	0.0638965293467	0.071076959864	0.0646352228044	0.21315971391
m	0.00233314803164	0.00734598178633	0.0369236880183	0.0685354311073	0.112913595176	0.222042911349	0.114196813116	0.139465193288	0.102576004268	0.19366722797
b	0.00079519600028	0.00251281638944	0.0366158908728	0.0644480670358	0.0988545617253	0.191721692116	0.125512574372	0.127372901096	0.0917828080893	0.260383459323
ì	0.00028517301276	0.000922237081813	0.0360532500576	0.0585171673453	0.0966186605751	0.0923335017053	0.226718424791	0.146671980365	0.0793166860298	0.262562863108
k	9.79611121617e-05	0.000329002068178	0.0127966681192	0.0261920137818	0.105352575525	0.0643650699018	0.338594851597	0.229544186788	0.0938182286766	0.128909406036
e	3.26871241189e-05	0.000109949413299	0.0045377001254	0.0105768705879	0.0681061549283	0.0412306369673	0.233356574532	0.477798372263	0.0906505512255	0.073600502012
à	1.0914992956e-05	3.68768962497e-05	0.00151397799149	0.00353238282797	0.0263333847294	0.0209752793224	0.087563773844	0.747158517421	0.0829299487418	0.0299449771373
t	3.6438899e-06	1.23847791932e-05	0.000505250592723	0.00124718034732	0.0181999862431	0.0134113884741	0.0347444613813	0.822281015807	0.0981937095806	0.0114009941791
t	1.24453491833e-06	4.38154777773e-06	0.000436008115774	0.00074835648244	0.016167229081	0.0172190995247	0.0311957778938	0.579701409602	0.10304928986	0.251477181726
i	4.5315432211e-07	1.83271134591e-06	0.000412501137971	0.000516425315297	0.009687358081	0.0176164606816	0.0293197697979	0.344587790867	0.21810177662	0.379755617242
f	1.63910573803e-07	7.92566239137e-07	0.00014127052437	0.000216790956249	0.00422324321433	0.0071415665672	0.012749827766	0.278179063622	0.391237948873	0.306109342414
i	6.2406182701e-08	3.39619786879e-07	5.109901268e-05	0.000116781117263	0.00239988545878	0.00372491714573	0.00741897078867	0.187449241207	0.506262969624	0.292575754138
n	2.94884068003e-08	1.88913639293e-07	1.756654173e-05	4.15744037343e-05	0.000812889746927	0.00141215367391	0.00313333541956	0.136001527402	0.584307276541	0.274273491379
è	1.22739612501e-08	6.71309662643e-08	6.088469939e-06	1.64071848214e-05	0.000289577487642	0.00055626200997	0.00113252945652	0.0547033664673	0.71488929218	0.22840642446
s	4.1887998667e-09	2.32847486281e-08	2.03736049153e-06	5.6211275838e-06	0.000113336509214	0.000256274623323	0.00045095947684	0.0261406344558	0.86588456406	0.107146524487
t	4.27039632223e-09	1.48569535827e-08	1.15729565934e-05	1.85254750613e-05	0.000422945851071	0.00691941687777	0.0107239771236	0.0117665706186	0.70746926802	0.262667673829
r	4.33043909074e-09	1.20836924276e-08	1.48967468478e-05	2.57186446871e-05	0.00084803018369	0.0105710418259	0.0155731327079	0.0094545162062	0.52892246934	0.43459018461
a	1.6449952568e-07	1.08561230171e-06	5.16855098593e-06	1.1673862729e-05	0.000611418495997	0.0049689527373	0.0066579002993	0.00695779360207	0.55102988978	0.42975600487
</S>	3.2670818284e-07	2.16499055085e-06	2.66557157297e-06	5.9825046145e-06	0.000307080400148	0.00248944376165	0.00335452674465	0.00374503085104	0.54458344489	0.445509402435
