 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
t	0.787854035	0.0546114175	0.0096491165	0.004129450608	0.013709608445	0.00376446817	0.004166689276	0.006087813955	0.116027437049
ù	0.906506201667	0.0397404908333	0.0036982246	0.001747930708	0.004866935945	0.00128450903333	0.00141344125267	0.00204363872733	0.0386986302787
t	0.865143967222	0.115609836944	0.00183854911333	0.000966454202667	0.00189427969433	0.000458082046777	0.00048200127589	0.000689818483277	0.0129169891652
t	0.736402289074	0.152448160648	0.0127363271844	0.0119077882676	0.00926316911078	0.0261474696213	0.0111358816403	0.00267164286293	0.0372872555641
o	0.485910893025	0.357925251883	0.0282152600615	0.0171498569559	0.0121999984703	0.0348446743271	0.0147766502134	0.00335226741098	0.0456251764547
t	0.205639776342	0.703042833961	0.0364025710205	0.012744824852	0.00675906892343	0.0133620789957	0.0052311724878	0.00124121321033	0.0155765611516
r	0.0936650857807	0.829934627987	0.0385302850068	0.011968068084	0.00520332707448	0.00854495409857	0.0026298194126	0.000653792573443	0.0088701111172
a	0.0533692291269	0.894661872662	0.0277057230023	0.007038988428	0.00261427983149	0.00581884433286	0.0016415886842	0.000386702936148	0.00676276735907
v	0.0193541935756	0.928402437554	0.0367742043341	0.00645879940933	0.00149320111716	0.00346779687762	0.000782366984733	0.000199061553716	0.00306796953969
ù	0.00731495179187	0.917865025851	0.0599575361114	0.00927700080311	0.00111021057905	0.00231021067587	0.000423582268244	0.000118309664572	0.00162320531323
d	0.00511785219729	0.696528298617	0.198753892037	0.0710169999344	0.0117824512663	0.0115856648086	0.00152357281941	0.000598865118191	0.00309239513774
i	0.0044214900991	0.494107142872	0.331065217346	0.117085439978	0.0184893994221	0.0183356752695	0.00539435010647	0.0022475468394	0.00885372704591
e	0.00160895352857	0.342194524291	0.378409149115	0.228112266659	0.023400687474	0.0102122199898	0.00538422512549	0.00226211982513	0.00841585080864
e	0.00053651033143	0.114806436664	0.342100866372	0.442317355553	0.0885776158247	0.0055921773966	0.00204470983183	0.000798120167043	0.00322622462955
t	0.000180393960843	0.040343827188	0.204712090124	0.525821851851	0.198292551942	0.0247016839655	0.00275645864394	0.00121560046901	0.00197554020985
o	6.15880436543e-05	0.0154417794293	0.111567658708	0.422346560617	0.384546203981	0.0533205913218	0.00765327521465	0.00239703425634	0.00266528516995
n	2.07937085581e-05	0.00529192159643	0.0494368069027	0.256708344872	0.516028801327	0.143079531774	0.0180393307382	0.00591580751878	0.00547861355665
è	7.1366726377e-06	0.00182081820214	0.0195714551009	0.130999999957	0.572356100442	0.234812740591	0.0244891142461	0.00860797813959	0.00733458685222
g	2.83928076423e-06	0.000843351034047	0.010382589167	0.0554232259857	0.626884550147	0.245824826864	0.0362417104154	0.0180265235132	0.00637034978407
r	6.89647998808e-06	0.0107236394613	0.0338186677223	0.0621526576619	0.471045200049	0.337206102288	0.0370721886385	0.0196154217711	0.028359246928
a	8.46813166269e-06	0.0138548519671	0.0389169202008	0.0578462678206	0.215774690683	0.490123667429	0.0953783213795	0.012426428857	0.0756704173093
t	3.496643094e-06	0.00465998048563	0.0130893446003	0.0200162314235	0.0820326498943	0.603139322476	0.186568483793	0.014922469619	0.0755680457698
s	1.1952671911e-06	0.00159234701181	0.00552790100677	0.0110392173578	0.0471738202981	0.651087094159	0.158459201264	0.0241622875397	0.100956940257
e	5.81751860367e-07	0.000573051586103	0.00301597772892	0.00795124119927	0.0294168818994	0.482011618053	0.294526380421	0.0472317308466	0.135272541419
è	3.49466352689e-07	0.000194965674801	0.00102532374564	0.00272107699642	0.0152219117665	0.218653570351	0.55124766014	0.116417211949	0.0945179541397
n	1.19149287896e-07	6.51838934003e-05	0.000348382203747	0.000956397367473	0.0117453107222	0.19373773445	0.595589220047	0.147018057316	0.0505396190466
a	4.19597803987e-08	2.18662146301e-05	0.000120404114249	0.000356233746158	0.00542656003073	0.18692834115	0.579571083349	0.180447309105	0.0471281666822
p	4.02417267996e-08	7.6472751067e-06	4.33660966163e-05	0.000135661673719	0.00194955302691	0.0832353607167	0.51553608445	0.319384383035	0.0797079105607
o	3.94370959332e-08	2.91590272557e-06	1.57544297388e-05	5.2617741573e-05	0.00072814389897	0.0409786549056	0.349589224817	0.524542661012	0.0840899868536
è	1.73558739777e-08	1.03292398612e-06	5.75135754427e-06	1.9804723271e-05	0.000257715666323	0.0148375487535	0.178727656272	0.756614687004	0.0495357576179
t	1.19289189926e-08	3.48012818507e-07	1.92838061176e-06	6.66904748867e-06	9.1777442441e-05	0.00498244099083	0.0866411817573	0.884867282335	0.0234083095393
a	9.67590833087e-09	1.55648187036e-07	1.36876980292e-06	5.16951548122e-06	9.2451511147e-05	0.00205847111828	0.0549940132524	0.691408704112	0.251439624846
</S>	9.45099316544e-09	1.34787711518e-07	1.76661940146e-06	6.96521624061e-06	0.000133067225573	0.00157262430914	0.0357693881262	0.478807337056	0.483708712423
