 	nella	pasta	vuole	sale	</S>
s	0.761965285	0.0172691845	0.00591217035	0.07500018	0.1398531616
t	0.663897001667	0.0325403805	0.01037361345	0.0433403443333	0.249848614933
i	0.401316103889	0.218042080167	0.0367616288167	0.0466130377778	0.297267103644
p	0.24281372463	0.430316426722	0.116794376272	0.0691744325926	0.140901003215
à	0.10923815421	0.589099475574	0.157313588757	0.0626345498642	0.0817141820717
s	0.0434210278833	0.597331191858	0.283298672919	0.0394688176214	0.0364802230239
t	0.0310415807744	0.514534610619	0.295777170973	0.0341320258738	0.124514542341
a	0.0268927310248	0.368917097873	0.332100003658	0.0949664386246	0.17712368078
t	0.0091548269815	0.130515276858	0.628985417886	0.129557627208	0.101786845927
è	0.0030858802504	0.044563384986	0.758870622629	0.142293713403	0.0511863836423
l	0.0010650510328	0.0154919568567	0.64402867421	0.318569961134	0.0208443225141
i	0.0003704501046	0.0052490508869	0.371444039737	0.571135677045	0.0518007728047
à	0.000134620984013	0.0018051305316	0.142049286312	0.794209582348	0.0618014061349
l	4.52016400177e-05	0.000602399528366	0.0570826151707	0.917930727449	0.024339094245
a	1.55093136826e-05	0.000203587301655	0.0294586025236	0.67088363915	0.299438695082
</S>	7.9874715563e-06	0.000104961856327	0.0169726049618	0.400544664575	0.582369822541
