 	sono	vestita	</S>
ì	0.77693266	0.1459764275	0.0770908746
m	0.658464383333	0.287132575833	0.0544030379333
e	0.402187618778	0.478695591944	0.119116802644
n	0.154593260793	0.675037047315	0.170369694215
d	0.068687845131	0.515093565772	0.416218608072
i	0.0387007403703	0.188040669824	0.773258602691
m	0.0132270994168	0.0873318178413	0.899441067564
è	0.00479345625227	0.0521636061471	0.943042922521
n	0.00282281093076	0.0299750489157	0.96720214084
i	0.00212200864692	0.0229720586719	0.97490593028
</S>	0.00114699527846	0.013051852886	0.98580114014
