 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.939034085	0.00901724345	0.0043802315	0.00306332912	0.00366673149	0.000877469	0.00707819163	0.032882773775
t	0.952476118333	0.0229347064833	0.00644539493333	0.00265148728667	0.00153018609	0.000342313356667	0.00251186546333	0.0111080230683
e	0.849493306111	0.123617847161	0.0174328406444	0.00327390519556	0.000914948083333	0.000182127518889	0.000996509974443	0.00408861054943
l	0.535680042037	0.260123379054	0.0795220548815	0.0802502743319	0.0265803656478	0.00309332094963	0.00827685497815	0.00647375708314
a	0.245756424012	0.217816646351	0.11146622996	0.217652108111	0.0534038062159	0.0190720306499	0.0681993509927	0.0666334210277
e	0.115481714537	0.406485908784	0.0727334399867	0.185410200227	0.0362150788453	0.0214101873513	0.0803208672552	0.0819425956026
M	0.0466501927123	0.492491949595	0.0639976816622	0.167284030932	0.0655922453884	0.0264454079184	0.0582199373427	0.0793185371275
a	0.0243369620374	0.201469649552	0.0485048964874	0.231664410311	0.120231211796	0.0588045209728	0.135223477114	0.179764872376
r	0.0105820451458	0.088088055204	0.0279759524291	0.232801353437	0.124883333932	0.0781915103243	0.203632629038	0.233845150792
ì	0.0142264280486	0.160776990735	0.0344365468097	0.316111757812	0.0907467269773	0.0562725002081	0.154633996346	0.172795100264
a	0.0137781409415	0.165751693045	0.211522403937	0.390461689271	0.0490175349924	0.022157751336	0.065948675782	0.0813621652213
à	0.00460102426583	0.0629350674817	0.575893034646	0.26930059309	0.0260508424208	0.00860930395533	0.0239696442607	0.0286405518804
v	0.00153635384891	0.0721999094939	0.787280961549	0.109118347697	0.00906907209693	0.00301246206078	0.0081684735749	0.00961446638897
v	0.000726910859937	0.070342665298	0.54225561185	0.073166853899	0.0655408782323	0.0364044090859	0.034881388013	0.176681322885
r	0.00318520646331	0.0520881838993	0.209508555283	0.110714165966	0.154750749411	0.0562716556953	0.0612068300043	0.352274694295
i	0.00379374314877	0.0447834172831	0.0976953870943	0.314896865322	0.19852471647	0.0467531778984	0.0439361560014	0.249616563098
n	0.0012680473365	0.0150012308144	0.0367550510314	0.432377688441	0.304790762157	0.0707921926328	0.0367572256671	0.102257790033
a	0.000429175770747	0.00501388604673	0.0141392910771	0.282018046147	0.438115464052	0.172355664211	0.040470092889	0.0474583643443
r	0.000149776405482	0.00168800508518	0.0063347325257	0.135290382049	0.446425864684	0.287742564737	0.084249546963	0.0381191184481
t	0.000100991997727	0.00165601305939	0.0136330076086	0.0873145290163	0.318985274895	0.240581801579	0.163631325654	0.174097032816
i	8.52272373423e-05	0.00163050546813	0.0146541382612	0.0605721126721	0.198037134965	0.297964900526	0.175615611885	0.251440357605
s	2.94540779674e-05	0.000546391279777	0.00495799751207	0.0239377369574	0.128382834988	0.453638086842	0.219256480628	0.169251029202
e	1.67066590758e-05	0.000185023770659	0.00171391708869	0.00992481031913	0.0713719673293	0.438608868947	0.314084443543	0.164094279734
m	1.29823263586e-05	6.66583182197e-05	0.00061180389423	0.00498873223971	0.0439041281098	0.399341339649	0.399743297848	0.151331066578
è	5.12543582287e-06	2.70314684399e-05	0.00027769844141	0.0024965795799	0.0208906082466	0.268254654216	0.579097032616	0.128951258859
n	1.72503685279e-06	9.76792972997e-06	0.000202061543803	0.0018095336933	0.00713855462553	0.102685374405	0.785580510872	0.102572467286
a	1.4198898261e-06	5.18356979332e-06	0.000143537542601	0.00133002549777	0.00287643624184	0.0548011584683	0.688246880291	0.252595386762
</S>	1.97694291305e-06	5.15446889666e-06	7.99449633005e-05	0.00115530834888	0.00200629067092	0.0468741917342	0.507614955146	0.442262213381
