 	credo	che	stanno	ancora	svegli	</S>
p	0.878411575	0.0035498473	0.00352042754	0.003330395715	0.012275759517	0.098912017114
i	0.886204545	0.0698406531	0.00452911387333	0.00166923524833	0.004133357627	0.033623073314
s	0.755531948333	0.2102106177	0.0192578929578	0.00160067978278	0.00145738777567	0.011941472938
t	0.665678096111	0.219872569233	0.0290576656526	0.00541868289426	0.0452721480486	0.034700869946
è	0.638460132037	0.226290336411	0.0260148192175	0.00648498193142	0.0599323945829	0.0428173417487
o	0.415400590146	0.48323319547	0.0623573397392	0.00330898927714	0.020177769981	0.0155221085496
k	0.139857370582	0.55920861849	0.285411729913	0.00275920935905	0.00688319012367	0.00587988827987
a	0.0472062096007	0.351261049497	0.570498509971	0.021367141053	0.00244532590456	0.00722178932329
s	0.0157871908956	0.178116548499	0.76179396999	0.0352770106843	0.00104892190152	0.00797637107443
t	0.00713599265387	0.085795059833	0.847451156663	0.0239620058948	0.00828949061384	0.0273662909915
è	0.00845066421796	0.0654046499443	0.713971968888	0.0301894216316	0.0108461414613	0.171137173664
o	0.00701778709722	0.0412146899148	0.412225429629	0.319310279877	0.00786294341043	0.212368897221
n	0.00234073367131	0.0142376429383	0.22002957321	0.665628649959	0.00842615067014	0.089337250607
e	0.000783336189003	0.00512986191277	0.13763257807	0.814922186653	0.00489444535671	0.036637600069
a	0.000264777998901	0.00183427163459	0.0487008963333	0.921460908884	0.00676446438557	0.020974695023
n	0.0001141150763	0.00070829939853	0.0183642666544	0.961189736295	0.00952721712852	0.0100963734077
k	8.88464654333e-05	0.000583091606177	0.00877278945147	0.659009871432	0.00912980270951	0.322415622203
ò	7.09915421444e-05	0.000904425052059	0.00451915305049	0.237108938811	0.0074214310365	0.749975084068
r	3.92024395815e-05	0.000990720517353	0.00417215405016	0.386812368604	0.0116638921455	0.596321692689
a	2.90967977272e-05	0.000574117695118	0.00336095930005	0.578745006201	0.0925543467152	0.324736495563
a	2.58407717424e-05	0.000197672941039	0.00118839281168	0.3579540594	0.344505895572	0.296128161854
t	5.21263054141e-05	0.00012885757368	0.000502306798893	0.2403940538	0.571804918524	0.187117754285
s	6.4749813138e-05	0.000176727691227	0.000447987299631	0.2047304966	0.660982372841	0.133597661762
ù	3.0705318046e-05	0.000168768143742	0.000412438946544	0.0968661682	0.592168010947	0.310353897254
n	1.4864100987e-05	9.49072951807e-05	0.000233229433515	0.0506404467333	0.488934580316	0.460081945751
n	8.129700634e-06	0.00049594122566	0.000501529115838	0.0270682482444	0.355207293439	0.61671883525
i	6.022349488e-06	0.000628705285759	0.000582460694614	0.0106473981048	0.421278841146	0.566856565083
t	2.18417593467e-06	0.000210407648792	0.000199668131539	0.00461374382493	0.439375677049	0.555598321694
i	7.94708825223e-07	7.14864243973e-05	7.2179030413e-05	0.00268740154164	0.192978405683	0.804189740565
</S>	4.52842940111e-07	3.65330098986e-05	3.62746790565e-05	0.00166739852082	0.133554627842	0.864704720283
