 	lo	posso	finire	di	scrivere	</S>
o	0.59712046	0.32167949	0.01012587755	0.002866504535	0.012496187619	0.055711518365
s	0.387426183333	0.58402601	0.00451040415	0.001168521125	0.00421073735233	0.0186581423117
ò	0.181554320978	0.807721806667	0.00247750225	0.000550062385	0.00145133895744	0.00624498342323
z	0.0616980198593	0.933854892222	0.00162435605	0.000223003061	0.000509419524147	0.00209031084944
o	0.0217454040198	0.961938614074	0.0133468423833	0.00147457186633	0.000445859023049	0.00104871215218
s	0.00821967768327	0.872109354691	0.102195977461	0.0107959780888	0.00459274609102	0.00208629091739
p	0.0332304678378	0.669648161564	0.146491094154	0.0243273733629	0.0331446663637	0.0931582313058
i	0.0414595880793	0.391996543855	0.340846883051	0.0481905677876	0.0489565567879	0.128549851435
c	0.0139995809064	0.167483768618	0.637685771017	0.0776039825959	0.0436347502626	0.059592149145
c	0.0373946363821	0.181718716873	0.561614073672	0.066188260532	0.0588233300875	0.0942609840483
è	0.0451832545674	0.174397562158	0.596580317891	0.036359218844	0.0505133640292	0.0969662623494
t	0.0151818005913	0.0604241786527	0.795162675964	0.0606665852813	0.0328213586764	0.0357433426165
s	0.0081960521593	0.0271242992842	0.662233475321	0.0805827150938	0.0498655695588	0.171997821706
i	0.00586689620921	0.0154936828514	0.482961691774	0.214393688365	0.0601430321863	0.221140973569
à	0.00195589567341	0.0051966988188	0.359505990591	0.505967516122	0.0464101750621	0.0809637247563
t	0.00065208056018	0.0017588758996	0.30332676353	0.621351818707	0.0442147036874	0.0286958098754
s	0.000222383208877	0.000846963614867	0.255949841177	0.418513702902	0.0766408512291	0.247826297682
e	7.91531927623e-05	0.000528561949689	0.115284986792	0.337429684301	0.207529897076	0.339147729227
g	2.64157449448e-05	0.000178551213196	0.0414588929307	0.413477904767	0.351383022359	0.193475213076
r	8.88474690893e-06	7.05184409653e-05	0.0196083142436	0.287671858256	0.44545335412	0.247187054359
à	3.03476547901e-06	3.31446013218e-05	0.0116950374279	0.120017138419	0.629158361373	0.239093279786
t	1.0138308458e-06	1.18156656739e-05	0.00424561517597	0.0483175621397	0.759636540458	0.187787454929
s	5.13473275367e-07	2.0351687458e-05	0.00250915914532	0.0244016935466	0.550633896819	0.422434384976
i	4.76553961789e-07	2.3173297886e-05	0.00183776248444	0.0104991217655	0.27187053894	0.715768928325
</S>	4.35376120895e-07	1.2159197043e-05	0.00093123779622	0.00569050300775	0.20469490447	0.788670764163
