 	sicuramente	stanno	ancora	svegli	</S>
s	0.902013335	0.0088313821	0.00356644945	0.008201790255	0.07738709635
i	0.945584131667	0.0198692864333	0.00354873558333	0.002923928645	0.0280739436833
k	0.948969497222	0.0349669334778	0.00331133096111	0.00112171805167	0.0116305325578
u	0.896932232407	0.0919054278259	0.00437921442037	0.00065108616389	0.0061320341826
r	0.718675677469	0.269790182609	0.00613136147346	0.000696586187963	0.00470617286087
a	0.65410389249	0.30792050087	0.00763219249115	0.00286250129599	0.0274809197536
m	0.58389542083	0.355948626957	0.0143243101637	0.00556134336533	0.0402703312512
è	0.577811130277	0.368140822319	0.0149117711546	0.00414285465511	0.0349934700837
n	0.471233384759	0.482962034106	0.0154797618182	0.00166964013504	0.0286552114279
t	0.195254016253	0.653293278035	0.0169547539394	0.00616018222835	0.128337796876
e	0.104682076084	0.622880092678	0.0298063213131	0.00884303140945	0.233788502292
s	0.042532666006	0.732096664226	0.0659134454377	0.00489963276982	0.154557593097
t	0.0143227893267	0.813214488075	0.0630003184792	0.00476722722327	0.104695153366
è	0.0100795194556	0.680779442692	0.0711226961597	0.00526187240776	0.232756471122
o	0.00853686282603	0.372384773564	0.334470222053	0.00854818380259	0.276060007041
n	0.00284815221651	0.153421700521	0.679364140684	0.0134092092675	0.150956801347
e	0.00095444707017	0.071052017507	0.851155133561	0.0097078343225	0.0671305251157
a	0.000324250299057	0.0251743381923	0.927715497854	0.0124785023408	0.0343073633719
n	0.000579050644352	0.0092945317541	0.955432999285	0.0190946104469	0.0155987635573
k	0.000753301444784	0.00575272671803	0.663950466428	0.0233746534823	0.306168830952
ò	0.000356482054261	0.00460937470601	0.250113551143	0.0203063112941	0.724614290317
r	0.000132861347087	0.00428894666867	0.356738532714	0.029053902898	0.609785760106
a	7.40960553623e-05	0.00345905962422	0.458787384238	0.167046728966	0.370632756702
a	5.40773802208e-05	0.00119484237674	0.232316827413	0.422364982989	0.344069308901
t	0.000241173835174	0.000453282496247	0.115287958471	0.663458227663	0.2205593723
s	0.000305774775391	0.000301305945416	0.083633938157	0.790109192554	0.1256498101
ù	0.000106324997797	0.000237294245139	0.0442684573857	0.700584514185	0.2548034367
n	3.71189766313e-05	0.000123484518046	0.0221882552619	0.548031671395	0.4296194989
n	1.30467744761e-05	0.000370373155682	0.011229262554	0.374485897132	0.613901452967
i	5.22308867537e-06	0.000448435886154	0.00511093240467	0.442269905711	0.552165517656
t	1.95075919829e-06	0.000153420393978	0.00220607898822	0.44184703357	0.555791529219
i	6.96687782597e-07	5.52001407593e-05	0.00127886974941	0.183889099523	0.814776153073
</S>	4.10626431299e-07	2.77983880297e-05	0.000756259054705	0.124016834761	0.875198706537
