 	non	deve	magniare	la	sera	</S>
e	0.4507906	0.29541746	0.012464875	0.0186375199	0.01260276485	0.21008678408
n	0.338611291333	0.548424943333	0.0212067596667	0.0138005109	0.00657419318333	0.0713823310467
è	0.140690647111	0.787440471111	0.0311527682222	0.0114516335	0.00432479831211	0.0249396827822
n	0.0527749587037	0.880621903704	0.0464344110741	0.00965349003333	0.00194483488837	0.00857035359407
a	0.0204578554012	0.704793797901	0.234893692025	0.0314012060111	0.00355642729612	0.00489704739802
f	0.0082132419004	0.359994262634	0.552965797342	0.0512007880037	0.020616704232	0.00700926979934
à	0.00437615010013	0.189110920878	0.734763699114	0.0412488840012	0.0240843892773	0.00641597476645
i	0.00200250947338	0.118850553269	0.628730283038	0.219902143334	0.0244401042924	0.00607438558882
t	0.000712153670127	0.0400762454897	0.357957642679	0.562668381111	0.0324311990975	0.00615439692961
o	0.000265344547042	0.0137670862799	0.16043712756	0.782976113704	0.0391666893658	0.0033876579432
v	0.000106499588014	0.00470776998563	0.0616314811867	0.713527321235	0.214005040455	0.00602187104773
r	0.000264117773671	0.00605786269421	0.0362604907289	0.442669327078	0.338152780152	0.176595400683
à	0.00035621556789	0.0176702787314	0.0384370629096	0.277973329026	0.212216225384	0.453346883561
i	0.000162819818793	0.0170620966397	0.0253082683412	0.177573188009	0.223593217128	0.55630039452
</S>	8.16442236415e-05	0.00853151891375	0.0126999162276	0.108023786504	0.321065998564	0.54959709726
