 	vado	vestito	</S>
i	0.91567575	0.0494854775	0.0348387991
p	0.96577664	0.0218237641667	0.0123996133
à	0.972596403333	0.0225849333889	0.00481865143333
o	0.677174164444	0.307829469796	0.0149963239444
n	0.291337948148	0.689434469932	0.0192275609815
d	0.199195549383	0.692026049977	0.108778392661
i	0.137976270794	0.469122866659	0.392900830887
m	0.049179755598	0.491529635553	0.459290586962
è	0.0173867024327	0.631049288518	0.351563998987
n	0.0059274666809	0.694605749506	0.299466772996
o	0.0020209286503	0.565565226502	0.432413837665
</S>	0.00102847950515	0.368662898251	0.630308618833
