 	l	ho	sentito	che	veniva	</S>
o	0.458082985	0.378397735	0.05399921585	0.00239924865	0.0498449541	0.0572758668
n	0.254996155	0.575503461667	0.122413850283	0.00588980845	0.0212204891	0.0199762226
ì	0.122068403	0.666825970556	0.176141646761	0.0105558514833	0.0169256767	0.00748240523333
k	0.0620632956667	0.714907773519	0.178374175587	0.0144802821611	0.0267489569	0.00342546804444
u	0.0389984830422	0.48150035984	0.224760151862	0.170253232387	0.0728698449667	0.0116179580815
s	0.0131605603484	0.16432393448	0.306155850621	0.409301920796	0.0885448973222	0.0185129066938
a	0.00442744407047	0.05619323844	0.228517562207	0.570463183599	0.104952684774	0.0354458918979
k	0.00150865021649	0.0190029933167	0.0953175394023	0.7019354512	0.138714564925	0.043520748966
a	0.000536120435163	0.0065646706789	0.0447220490008	0.6495358304	0.191394298308	0.107247014655
è	0.000209431398281	0.00227250600463	0.0162990896936	0.366343509467	0.492448199436	0.122427276952
r	7.00698777703e-05	0.000766320987877	0.00548825960053	0.128197635822	0.823551969812	0.041925744144
k	0.00108653362771	0.0105545636873	0.0154920020762	0.0667574719407	0.712417973271	0.193691451141
a	0.00142541880537	0.0138153017183	0.0188202139346	0.0456156994669	0.45018491109	0.47013845038
t	0.00047534862584	0.00460866083327	0.0063277659374	0.0180295156423	0.525145090363	0.445413630127
o	0.00015872119071	0.00154185043492	0.0021684156408	0.00887551402743	0.530181140121	0.457074356709
</S>	7.9728576625e-05	0.00077453079621	0.0010919812379	0.00460406973371	0.39619803506	0.597251628354
