 	io	non	ho	cosa	da	mangiare	</S>
e	0.6443555	0.0189538585	0.00375516175	0.00132090839	0.00725853549	0.077679298405	0.246676661215
v	0.860964276667	0.0219921351667	0.00518517361667	0.000893353756667	0.00257977091	0.0260244216383	0.0823607595583
ò	0.660994252222	0.274022275389	0.0258696208722	0.00134927348556	0.00112521406667	0.00891227312277	0.0277269784061
e	0.283322142741	0.636782128463	0.0631425082907	0.00326220749519	0.000661021845557	0.00322810534092	0.00960174224537
n	0.116814756247	0.543433042821	0.30185631943	0.0296045077317	0.00200141509519	0.00207264353697	0.00421717864846
è	0.0503354853823	0.26433604094	0.62318141981	0.0466317902439	0.00631753636506	0.00626944164566	0.00292821631615
c	0.0216403170941	0.168358173647	0.68413687327	0.0587769130813	0.021977872455	0.0339779355486	0.0111318892054
h	0.0307504330314	0.145261054549	0.555520287757	0.14169375636	0.0332890521517	0.0418169678495	0.0516684367351
o	0.0293844358161	0.095070565233	0.332120541252	0.391762125453	0.0424581210506	0.0215927309498	0.0876114669117
t	0.0098148683247	0.0320496101943	0.143052271084	0.672192875151	0.0603997953502	0.0166904894833	0.0658001069706
i	0.0032754173354	0.0108926158748	0.0606201740947	0.597768151717	0.215485091783	0.0733063119944	0.0386522719902
è	0.00109249983473	0.0038380881516	0.0235118809649	0.288433662906	0.355336453928	0.299847817331	0.0279396159967
n	0.00036446133213	0.0014964584072	0.0127969915216	0.120937719969	0.408924857976	0.438061315777	0.0174181651656
a	0.000122303171597	0.000538073718067	0.0070397905472	0.0681510739897	0.421455129325	0.453578528592	0.0491150678885
f	4.15800196323e-05	0.000193260587022	0.0025411277824	0.0290272985632	0.310083903108	0.574066622864	0.0840461926295
à	1.40222818571e-05	7.0089391464e-05	0.000939018505133	0.0111416425611	0.169002200036	0.752677674288	0.0661553385432
o	5.04292683203e-06	2.43687459447e-05	0.000345068077044	0.0038226652437	0.0618044888787	0.667599481429	0.266398880514
</S>	3.06311876601e-06	1.35075104723e-05	0.000190524375022	0.00204457449685	0.0333076292393	0.477769825714	0.486670870257
