 	ho	cosa	a	fare	</S>
a23	0.16198047	0.6499127	0.03576269	0.043701515	0.1086426
a17	0.0021169716	0.09383372	0.59021807	0.24474174	0.06908948
a31	0.0007604727	0.25918657	0.52129984	0.15833578	0.060417306
a8	0.02201288	0.43489614	0.28400943	0.10024202	0.15883955
a31	0.01568571	0.120690025	0.17095682	0.22586218	0.46680537
a13	0.019322377	0.039250795	0.03928019	0.080784254	0.82136244
a24	0.016544227	0.07634798	0.14597438	0.17511044	0.586023
a31	0.05105606	0.3301957	0.10941642	0.20693055	0.30240127
a13	0.107579246	0.56910235	0.102588244	0.10201185	0.11871833
a31	0.014666312	0.36167008	0.41160575	0.12890974	0.08314819
a18	0.13550895	0.25389665	0.21179818	0.19915241	0.19964378
a0	0.040402308	0.5234048	0.31913602	0.06918025	0.047876637
a39	0.31963024	0.42463502	0.14639768	0.06026926	0.04906777
</S>	0.49193624	0.2724654	0.11952865	0.06715586	0.048913755
