 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.9685648	0.0023643952	0.0062335115	0.0014190369	6.242447e-05	0.0030701899	0.004490952	0.01379469
a31	0.0042035817	0.00069347426	0.043109357	0.079982534	0.07010588	0.77722234	0.0023928923	0.02228992
a15	0.000105300234	0.00010432397	0.0074326643	0.020934464	0.007080981	0.9078488	0.013751565	0.042741958
a20	7.674189e-06	5.8544615e-06	0.0022180697	0.0717236	0.10625748	0.7949068	0.017413285	0.0074671446
a11	0.01678299	0.01558725	0.33797285	0.16722798	0.15628012	0.17171626	0.025635924	0.10879657
a31	0.008044476	0.09292516	0.44722956	0.16295938	0.063817576	0.06188397	0.017143864	0.14599603
a39	0.0022393041	0.10116511	0.4919978	0.15916537	0.062153053	0.057292268	0.010191378	0.115795605
a46	0.0021766457	0.06632466	0.3725143	0.12496768	0.057575356	0.0905499	0.03143583	0.25445554
a18	0.011282095	0.03797709	0.3939703	0.2173106	0.05975341	0.065452404	0.023925092	0.19032891
a31	0.07544094	0.06918936	0.13784023	0.15643762	0.092767395	0.25320172	0.07069989	0.1444228
a13	0.20058742	0.05609453	0.15911475	0.11766493	0.088903405	0.15879034	0.06584586	0.15299873
a31	0.11930376	0.047485724	0.090637304	0.07247617	0.07412247	0.2857503	0.09430183	0.21592245
a46	0.5021909	0.07024968	0.082676515	0.06481796	0.045617227	0.06994124	0.06494778	0.09955872
a31	0.059165567	0.066162646	0.13241221	0.16119936	0.04266798	0.19008785	0.14724337	0.20106097
</S>	0.37445065	0.2791947	0.06477826	0.045407824	0.012284708	0.06891994	0.0712845	0.08367946
