 	possono	essere	ancora	svegli	</S>
a31	0.008735889	0.16512647	0.20067114	0.29161415	0.33385232
a20	1.0968803e-06	5.356627e-07	0.0005107678	0.38509524	0.61439234
a23	4.8446886e-06	4.7881436e-05	0.0011872019	0.042111102	0.95664895
a31	3.505808e-05	0.0007188359	0.014808224	0.7713319	0.21310596
a20	0.0007479376	0.00027556892	0.0035449972	0.53378296	0.46164852
a11	0.000109740315	0.000838932	0.07582467	0.44439474	0.47883195
a20	0.0015329814	0.0077566863	0.105956696	0.20267533	0.6820783
a31	0.0030075524	0.04894253	0.13552417	0.1514398	0.66108596
a37	0.031207576	0.19495197	0.08407841	0.15459344	0.5351686
a31	0.0029923164	0.11037941	0.23304385	0.22062339	0.432961
a11	0.035296734	0.26193723	0.12933438	0.20642164	0.36700997
a46	0.016608084	0.2573141	0.2718245	0.21100377	0.24324957
a31	0.09385526	0.6344066	0.09687019	0.085701354	0.089166485
a46	0.12135813	0.29094094	0.18168217	0.19261223	0.21340655
a31	0.17953083	0.53162646	0.10954361	0.089015014	0.0902841
a20	0.26218146	0.2402574	0.16023652	0.16542013	0.17190444
a28	0.3550258	0.49657148	0.054781742	0.046545453	0.04707544
</S>	0.4877014	0.3215508	0.064832106	0.06238054	0.06353522
