 	essendosi	vestito	</S>
a46	0.42404795	0.17704009	0.39891198
a31	0.0015075196	0.013673856	0.9848186
a18	0.1646746	0.008638421	0.826687
a31	0.061195835	0.2700589	0.6687453
a20	0.0053652353	0.37711114	0.61752367
a46	0.004095716	0.45493093	0.54097337
a20	0.007104671	0.47061545	0.52227986
a31	0.4075339	0.25259268	0.3398734
a0	0.37089205	0.25681192	0.37229607
a46	0.38036984	0.27320042	0.34642977
a35	0.8032567	0.08528532	0.11145794
a46	0.8609897	0.05868156	0.08032883
a24	0.8823403	0.05263328	0.06502642
a46	0.686578	0.14547828	0.16794376
a24	0.8454442	0.07674997	0.0778059
a31	0.6275681	0.18407075	0.18836112
</S>	0.32246238	0.33494857	0.342589
