 	deve	essere	bianco	</S>
a31	0.07293169	0.07455805	0.3406383	0.511872
a11	3.8567924e-07	0.0014613712	0.7630511	0.23548712
a31	0.0004287756	0.15779424	0.36439273	0.47738427
a37	0.00025918015	0.0024967291	0.14102976	0.8562143
a31	0.0010319657	0.0060750404	0.10293876	0.8899542
a37	0.00057097705	0.0030789229	0.10349743	0.89285266
a31	0.0016174283	0.018997038	0.21754232	0.76184326
a20	0.09318901	0.107319236	0.14910348	0.6503883
a31	0.02244026	0.5079953	0.084703356	0.38486108
a0	0.15453371	0.22639659	0.09594174	0.5231279
a31	0.03508476	0.7053673	0.0902407	0.1693072
a20	0.18082938	0.31127274	0.1577288	0.350169
a18	0.27160516	0.59506476	0.05985671	0.073473364
</S>	0.63711023	0.22620921	0.06198292	0.07469768
