 	hai	già	mangiato	</S>
a38	0.24416316	0.45623165	0.062754616	0.23685062
a31	0.017602444	0.9814911	0.00079246925	0.000113975315
a20	0.01630959	0.9797356	0.0037103074	0.00024444514
a31	0.2369461	0.7564133	0.0055033746	0.0011372084
a27	0.04474897	0.9325584	0.013764691	0.00892792
a31	0.11096711	0.6528962	0.16283178	0.073304854
a20	0.19071926	0.69971424	0.074771754	0.034794785
a31	0.26230982	0.3513094	0.17162387	0.21475686
a39	0.71641177	0.18730399	0.07393361	0.022350652
a20	0.60627437	0.32480323	0.05115916	0.017763216
a10	0.6221001	0.2971225	0.048403	0.032374423
</S>	0.6764582	0.23307425	0.058564324	0.031903245
