 	dovevo	comprare	il	pane	</S>
a31	0.23772831	0.18536985	0.09049088	0.2827906	0.2036204
a46	0.010484179	0.0063817455	0.086111754	0.5973372	0.29968515
a31	0.037310597	0.027996898	0.07495449	0.025593644	0.83414435
a18	0.0028478552	0.026291728	0.0055035767	0.11862003	0.8467368
a13	6.852494e-05	0.009406549	0.016352767	0.36491716	0.609255
a0	0.00019434503	0.026332024	0.015144892	0.27150914	0.68681955
a20	0.00024544925	0.08552629	0.14607124	0.20740607	0.56075096
a7	0.034721423	0.24445525	0.21434513	0.13585317	0.37062508
a20	0.02724283	0.23241805	0.26165676	0.14653334	0.33214903
a31	0.13908324	0.18345092	0.22130936	0.14549632	0.31066015
a11	0.24967556	0.058536272	0.18637949	0.16431376	0.34109488
a39	0.15311849	0.3584347	0.18943165	0.13276348	0.16625167
a31	0.6165138	0.14295924	0.08595074	0.07394903	0.08062721
a13	0.38259545	0.10482886	0.16451146	0.15897654	0.1890877
a17	0.5869085	0.21638322	0.074219614	0.05975156	0.06273709
a31	0.76299286	0.08478337	0.053107508	0.048847068	0.05026919
a46	0.44117272	0.12874685	0.141893	0.14069322	0.14749417
a20	0.69822806	0.15213247	0.05499174	0.047032084	0.047615718
a31	0.6517859	0.090222955	0.0869931	0.08437516	0.08662287
</S>	0.3694954	0.1514842	0.15883647	0.15790851	0.16227536
