 	voglio	che	Maria	viene	domani	</S>
a33	0.25951904	0.14459626	0.24410269	0.13301815	0.04295769	0.17580615
a31	0.0020114656	0.015838334	0.9819359	0.00011304814	2.0677126e-05	8.039259e-05
a11	0.0044271937	0.018878303	0.9766881	4.284455e-06	2.4449773e-07	1.8839066e-06
a31	0.031060753	0.09684761	0.099717595	0.72018856	0.025178628	0.027006876
a18	0.05509794	0.0773677	0.85251105	0.014662409	0.00013276147	0.00022828521
a31	0.010268616	0.13958465	0.08331603	0.6691526	0.030907443	0.06677065
a42	0.0042354306	0.028892096	0.04403872	0.860913	0.0118370345	0.050083768
a37	0.029383143	0.20995472	0.22965218	0.3534483	0.039518382	0.13804324
a31	0.04010979	0.14616331	0.065831855	0.35905066	0.24823037	0.14061403
a20	0.06868319	0.1813386	0.11300296	0.27462143	0.21000926	0.15234457
a31	0.12524116	0.21021126	0.211612	0.1592713	0.15384313	0.13982111
a8	0.16139127	0.1712397	0.16507304	0.17367512	0.16661	0.16201088
</S>	0.25692648	0.16391626	0.14651577	0.14417385	0.14429791	0.1441697
