 	dei	genitori	</S>
a31	0.04247399	0.13346317	0.8240629
a20	3.715114e-06	0.14896329	0.85103303
a31	5.503577e-06	0.59050435	0.4094902
a18	2.7426315e-05	0.5835295	0.4164431
a24	0.0008698693	0.17719308	0.821937
a28	0.009741963	0.08938453	0.9008735
a31	0.03554736	0.061226167	0.90322644
a20	0.048525326	0.07042115	0.88105357
a31	0.14054388	0.12541474	0.7340414
a20	0.06702107	0.15734679	0.7756322
a39	0.5997046	0.12315512	0.27714026
a46	0.50467795	0.22026102	0.27506095
</S>	0.4924548	0.24284628	0.26469895
