 	è	che	è	entrato	da	qui	</S>
a31	0.033905864	0.4327853	0.10821335	0.0033741596	0.06042299	0.08673803	0.2745604
a7	0.0038029717	0.02243897	0.028360788	0.0123183215	0.41555154	0.016846064	0.50068134
a18	7.745919e-06	9.06437e-05	0.024119865	0.019576682	0.2786778	0.083164304	0.594363
a31	0.13213558	0.7543193	0.07168648	0.013473267	0.013604967	0.001927577	0.012852775
a46	0.029201793	0.19409087	0.09267115	0.13434273	0.07153509	0.043196242	0.43496212
a31	0.012713541	0.06289102	0.25881377	0.27528337	0.254209	0.0390826	0.09700667
a39	0.041567292	0.37381497	0.08838173	0.036292963	0.03005629	0.032830045	0.39705667
a28	0.009009299	0.042953424	0.12184775	0.020424707	0.034362968	0.050975386	0.72042644
a31	0.038069233	0.39560625	0.0867983	0.012765734	0.015996465	0.04000312	0.4107609
</S>	0.040325362	0.095337	0.04947236	0.025950292	0.045957103	0.11894815	0.6240097
